Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Joe Flacco\FlacJo00,BAL,21,38,137,1,1,3,25,20,61.0,0,0,0,0,1,1,-8,0,-8,1,
Ray Rice\RiceRa00,BAL,0,0,0,0,0,0,0,0,,8,28,0,12,8,5,35,0,11,1,
Ricky Williams\WillRi00,BAL,0,0,0,0,0,0,0,0,,3,5,0,4,0,0,0,0,0,0,
Vonta Leach\LeacVo00,BAL,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,2,0,2,0,
Anquan Boldin\BoldAn00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,12,4,40,1,14,0,
Torrey Smith\SmitTo02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,0,20,0,
Ed Dickson\DickEd00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,23,0,8,0,
Dennis Pitta\PittDe00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,13,0,15,0,
LaQuan Williams\WillLa01,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
David Reed\ReedDa00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Blaine Gabbert\GabbBl00,JAX,9,20,93,0,0,4,20,24,59.0,5,-1,0,2,0,0,0,0,0,1,
Maurice Jones-Drew\DrewMa00,JAX,0,0,0,0,0,0,0,0,,30,105,0,12,3,2,-1,0,1,3,
Deji Karim\KariDe00,JAX,0,0,0,0,0,0,0,0,,7,28,0,9,0,0,0,0,0,0,
Jason Hill\HillJa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,62,0,24,0,
Marcedes Lewis\LewiMa00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,13,0,13,0,
Mike Sims-Walker\WalkMi01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,
Mike Thomas\ThomMi01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,
Cecil Shorts\ShorCe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
Greg Jones\JoneGr01,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
