Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jay Cutler\CutlJa00,CHI,17,32,226,1,2,2,8,36,60.2,1,-1,0,-1,0,0,0,0,0,0,
Matt Forte\FortMa00,CHI,0,0,0,0,0,0,0,0,,25,145,1,32,4,2,38,0,36,0,
Marion Barber\BarbMa01,CHI,0,0,0,0,0,0,0,0,,6,39,1,29,1,0,0,0,0,0,
Roy Williams\WillRo04,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,59,1,25,0,
Johnny Knox\KnoxJo00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,53,0,23,0,
Tyler Clutts\ClutTy00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,9,0,
Dane Sanzenbacher\SanzDa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,9,0,
Kellen Davis\DaviKe01,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,
Devin Hester\HestDe99,CHI,0,0,0,0,0,0,0,0,,1,-6,0,-6,9,4,46,0,15,0,
Josh Freeman\FreeJo00,TAM,29,51,264,2,4,1,14,24,51.4,0,0,0,0,0,0,0,0,0,0,
Micheal Spurlock\SpurMi00,TAM,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,
Kregg Lumpkin\LumpKr00,TAM,0,0,0,0,0,0,0,0,,8,15,0,13,8,6,37,0,10,0,
Earnest Graham\GrahEa00,TAM,0,0,0,0,0,0,0,0,,2,13,0,9,1,1,-2,0,-2,0,
Arrelious Benn\BennAr00,TAM,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,0,
Mike Williams\WillMi04,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,75,0,18,0,
Dezmon Briscoe\BrisDe00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,73,1,24,0,
Preston Parker\ParkPr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,42,0,15,1,
Kellen Winslow\WinsKe01,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,4,25,1,14,0,
Luke Stocker\StocLu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,10,0,
