Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tim Tebow\TeboTi00,DEN,13,27,161,2,0,6,30,42,91.7,9,59,0,21,0,0,0,0,0,1,
Willis McGahee\McGaWi00,DEN,0,0,0,0,0,0,0,0,,18,76,0,12,0,0,0,0,0,1,
Knowshon Moreno\MoreKn00,DEN,0,0,0,0,0,0,0,0,,7,28,0,13,2,2,10,0,9,0,
Lance Ball\BallLa00,DEN,0,0,0,0,0,0,0,0,,6,14,0,5,0,0,0,0,0,0,
Matt Willis\WillMa00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,42,0,42,0,
Daniel Fells\FellDa00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,31,1,28,0,
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,3,27,1,15,0,
Eric Decker\DeckEr00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,21,0,16,0,
Spencer Larsen\LarsSp99,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,
Eddie Royal\RoyaEd00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,14,0,7,0,
Dante Rosario\RosaDa00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Matt Moore\MoorMa01,MIA,22,33,197,1,0,4,24,29,92.6,2,-1,0,0,0,0,0,0,0,2,
Daniel Thomas\ThomDa03,MIA,0,0,0,0,0,0,0,0,,19,53,0,14,5,2,0,0,5,0,
Reggie Bush\BushRe00,MIA,0,0,0,0,0,0,0,0,,10,42,0,12,2,2,4,0,6,0,
Brandon Marshall\MarsBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,61,0,16,0,
Davone Bess\BessDa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,52,0,13,0,
Charles Clay\ClayCh00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,29,0,29,0,
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,29,0,15,0,
Anthony Fasano\FasaAn00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,1,16,0,
