Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
A.J. Feeley\FeelA.00,STL,20,33,196,0,1,1,1,34,64.7,1,-1,0,-1,0,0,0,0,0,1,
Steven Jackson\JackSt00,STL,0,0,0,0,0,0,0,0,,18,70,1,40,5,4,3,0,8,0,
Cadillac Williams\WillCa02,STL,0,0,0,0,0,0,0,0,,2,1,0,1,1,1,13,0,13,1,
Brandon Lloyd\LloyBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,74,0,34,0,
Michael Hoomanawanui\HoomMi00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,44,0,27,0,
Greg Salas\SalaGr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,33,0,21,0,
Billy Bajema\BajeBi00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,12,0,
Danario Alexander\AlexDa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,9,0,6,0,
Lance Kendricks\KendLa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Tony Romo\RomoTo00,DAL,14,24,166,2,0,2,15,34,107.3,0,0,0,0,0,0,0,0,0,0,
DeMarco Murray\MurrDe00,DAL,0,0,0,0,0,0,0,0,,25,253,1,91,2,0,0,0,0,0,
Phillip Tanner\TannPh00,DAL,0,0,0,0,0,0,0,0,,6,34,1,17,0,0,0,0,0,0,
Tashard Choice\ChoiTa00,DAL,0,0,0,0,0,0,0,0,,2,8,0,7,0,0,0,0,0,1,
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,90,1,34,0,
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,35,1,18,0,
Laurent Robinson\RobiLa01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,25,0,17,0,
Miles Austin\AustMi00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,16,0,9,0,
Jon Kitna\KitnJo00,DAL,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,
