Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
John Beck\BeckJo00,WAS,22,37,279,1,1,3,18,32,80.8,3,10,1,7,0,0,0,0,0,1,
Tim Hightower\HighTi00,WAS,0,0,0,0,0,0,0,0,,17,88,0,17,1,0,0,0,0,0,
Fred Davis\DaviFr01,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,80,1,22,0,
Jabar Gaffney\GaffJa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,68,0,32,1,
Logan Paulsen\PaulLo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,48,0,24,0,
Terrence Austin\AustTe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,26,0,12,0,
Niles Paul\PaulNi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,14,0,
Santana Moss\MossSa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,16,0,
Anthony Armstrong\ArmsAn00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,9,0,9,0,
Leonard Hankerson\HankLe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Roy Helu\HeluRo00,WAS,0,0,0,0,0,0,0,0,,1,-1,0,-1,2,2,6,0,4,0,
Ryan Torain\ToraRy00,WAS,0,0,0,0,0,0,0,0,,2,-5,0,2,0,0,0,0,0,0,
Cam Newton\NewtCa00,CAR,18,23,256,1,0,4,24,37,127.5,10,59,1,25,0,0,0,0,0,0,
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,14,68,1,29,0,0,0,0,0,1,
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,10,35,0,8,0,0,0,0,0,0,
Jerome Felton\FeltJe00,CAR,0,0,0,0,0,0,0,0,,2,7,0,4,1,1,17,0,17,0,
Steve Smith\SmitSt01,CAR,0,0,0,0,0,0,0,0,,1,6,0,6,9,7,143,0,36,0,
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,39,1,37,0,
Jeremy Shockey\ShocJe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,32,0,12,0,
Legedu Naanee\NaanLe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,21,0,8,0,
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,0,4,0,
