Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andy Dalton\DaltAn00,CIN,18,29,168,2,2,1,8,43,72.2,2,3,0,3,0,0,0,0,0,0,
Bernard Scott\ScotBe00,CIN,0,0,0,0,0,0,0,0,,22,76,0,16,3,3,0,0,1,0,
Brian Leonard\LeonBr00,CIN,0,0,0,0,0,0,0,0,,2,7,0,4,3,2,10,0,6,0,
Andrew Hawkins\HawkAn00,CIN,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,63,1,43,0,
Donald Lee\LeexDo00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,44,0,26,0,
Andre Caldwell\CaldAn00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,31,0,10,0,
Jerome Simpson\SimpJe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,1,14,0,
Chris Pressley\PresCh00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,
Tarvaris Jackson\JackTa00,SEA,21,40,323,0,1,2,19,55,69.1,1,2,0,2,0,0,0,0,0,0,
Charlie Whitehurst\WhitCh02,SEA,4,7,52,0,0,2,6,17,80.7,1,1,0,1,0,0,0,0,0,0,
Leon Washington\WashLe00,SEA,0,0,0,0,0,0,0,0,,2,34,0,28,2,0,0,0,0,0,
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,0,0,0,,16,24,1,9,0,0,0,0,0,1,
Ben Obomanu\ObomBe00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,107,0,55,0,
Sidney Rice\RiceSi01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,102,0,35,0,
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,73,0,31,0,
Zach Miller\MillZa01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,37,0,17,0,
Cameron Morrah\MorrCa00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,21,0,13,0,
Justin Forsett\ForsJu00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,
Michael Robinson\RobiMi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,
Golden Tate\TateGo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,11,0,9,0,
Kris Durham\DurhKr00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
Anthony McCoy\McCoAn00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
