Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Ryan\RyanMa00,ATL,14,24,275,3,1,1,6,80,120.7,2,0,0,2,0,0,0,0,0,0,
Michael Turner\TurnMi00,ATL,0,0,0,0,0,0,0,0,,19,71,1,15,2,1,7,0,7,0,
Jacquizz Rodgers\RodgJa00,ATL,0,0,0,0,0,0,0,0,,10,44,0,11,1,1,16,0,16,0,
Julio Jones\JoneJu02,ATL,0,0,0,0,0,0,0,0,,2,33,0,19,4,3,131,2,80,0,
Jason Snelling\SnelJa00,ATL,0,0,0,0,0,0,0,0,,8,15,0,6,0,0,0,0,0,0,
Roddy White\WhitRo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,76,0,33,0,
Tony Gonzalez\GonzTo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,36,1,20,0,
Michael Palmer\PalmMi00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,
Curtis Painter\PainCu00,IND,13,27,98,0,1,2,15,16,41.9,1,5,0,5,0,0,0,0,0,0,
Dan Orlovsky\OrloDa00,IND,4,6,20,0,0,0,0,9,71.5,0,0,0,0,0,0,0,0,0,0,
Donald Brown\BrowDo00,IND,0,0,0,0,0,0,0,0,,16,70,0,13,3,1,1,0,1,0,
Delone Carter\CartDe01,IND,0,0,0,0,0,0,0,0,,4,8,0,4,0,0,0,0,0,1,
Austin Collie\CollAu00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,32,0,16,0,
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,30,0,11,0,
Pierre Garcon\GarcPi00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,22,0,15,0,
Dallas Clark\ClarDa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,21,0,12,0,
Brody Eldridge\EldrBr00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,
Jacob Tamme\TammJa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,6,0,3,0,
