Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Aaron Rodgers\RodgAa00,GNB,21,26,247,4,0,4,15,64,145.8,8,52,0,25,0,0,0,0,0,0,
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,13,66,0,20,1,1,9,0,9,0,
Ryan Grant\GranRy00,GNB,0,0,0,0,0,0,0,0,,4,16,0,6,0,0,0,0,0,0,
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,4,0,4,0,
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,105,1,64,0,
Greg Jennings\JennGr00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,46,1,21,0,
Jermichael Finley\FinlJe00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,44,1,13,0,
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,1,21,0,
Donald Driver\DrivDo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,10,0,
Philip Rivers\RivePh00,SDG,26,46,385,4,3,2,10,38,85.9,1,-1,0,-1,0,0,0,0,0,1,
Mike Tolbert\TolbMi00,SDG,0,0,0,0,0,0,0,0,,19,83,1,9,9,4,59,0,27,0,
Jacob Hester\HestJa00,SDG,0,0,0,0,0,0,0,0,,1,3,0,3,2,1,2,0,2,1,
Vincent Jackson\JackVi00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,141,3,38,0,
Antonio Gates\GateAn00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,96,1,19,0,
Vincent Brown\BrowVi00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,79,0,31,0,
Patrick Crayton\CrayPa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,
Randy McMichael\McMiRa01,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,
