Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tarvaris Jackson\JackTa00,SEA,17,30,221,0,3,1,2,43,40.4,2,3,0,4,0,0,0,0,0,0,
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,0,0,0,,23,135,1,29,2,1,8,0,8,0,
Leon Washington\WashLe00,SEA,0,0,0,0,0,0,0,0,,3,16,0,10,0,0,0,0,0,0,
Justin Forsett\ForsJu00,SEA,0,0,0,0,0,0,0,0,,2,8,0,9,3,2,14,0,13,0,
Sidney Rice\RiceSi01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,69,0,43,0,
Anthony McCoy\McCoAn00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,44,0,31,0,
Mike Williams\WillMi03,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,41,0,19,0,
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,31,0,25,0,
Golden Tate\TateGo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,
Ben Obomanu\ObomBe00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,9,0,
Tony Romo\RomoTo00,DAL,19,31,279,2,0,0,0,39,112.2,3,13,0,11,0,0,0,0,0,0,
DeMarco Murray\MurrDe00,DAL,0,0,0,0,0,0,0,0,,22,139,0,32,6,4,47,0,17,0,
Phillip Tanner\TannPh00,DAL,0,0,0,0,0,0,0,0,,4,11,0,6,0,0,0,0,0,0,
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,76,0,39,1,
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,71,1,33,0,
Miles Austin\AustMi00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,53,0,37,0,
Laurent Robinson\RobiLa01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,32,1,8,0,
John Phillips\PhilJo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,
