Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,23,33,303,1,2,3,12,51,83.3,5,4,0,4,0,0,0,0,0,1,0
Kealoha Pilares\PilaKe00,CAR,0,0,0,0,0,0,0,0,,1,5,0,5,1,0,0,0,0,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,1,2,0,2,3,3,8,0,20,0,0
Steve Smith\SmitSt01,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,106,0,32,0,0
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,65,1,24,0,0
Louis Murphy\MurpLo00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,63,0,51,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,56,0,20,0,0
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,6,-1,0,7,1,1,5,0,5,0,0
Josh Freeman\FreeJo00,TAM,16,24,138,1,0,2,10,33,95.5,7,13,0,12,0,0,0,0,0,0,0
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,24,95,0,15,4,4,23,0,11,0,0
Danny Ware\WareDa00,TAM,0,0,0,0,0,0,0,0,,2,14,0,8,0,0,0,0,0,0,0
LeGarrette Blount\BlouLe00,TAM,0,0,0,0,0,0,0,0,,3,8,0,4,1,1,2,0,2,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,47,0,21,0,0
Dallas Clark\ClarDa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,33,0,33,0,0
Erik Lorig\LoriEr99,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,21,0,15,0,0
Mike Williams\WillMi04,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,1,6,0,0
Preston Parker\ParkPr00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
