Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tony Romo\RomoTo00,DAL,22,29,307,3,1,2,17,40,129.5,5,12,0,9,0,0,0,0,0,0,0
DeMarco Murray\MurrDe00,DAL,0,0,0,0,0,0,0,0,,20,131,0,48,2,2,9,0,9,0,0
Kevin Ogletree\OgleKe00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,114,2,40,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,85,0,38,0,0
Miles Austin\AustMi00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,73,1,34,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,7,0,0
James Hanna\HannJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
John Phillips\PhilJo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Lawrence Vickers\VickLa00,DAL,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Felix Jones\JoneFe00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Eli Manning\MannEl00,NYG,21,32,213,1,0,3,26,39,94.9,0,0,0,0,0,0,0,0,0,0,0
Ahmad Bradshaw\BradAh00,NYG,0,0,0,0,0,0,0,0,,17,78,1,33,2,2,15,0,9,0,0
David Wilson\WilsDa01,NYG,0,0,0,0,0,0,0,0,,2,4,0,3,0,0,0,0,0,1,1
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,58,0,26,0,0
Domenik Hixon\HixoDo00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,55,0,39,0,0
Martellus Bennett\BennMa00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,40,1,12,0,0
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,38,0,12,0,0
Bear Pascoe\PascBe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Henry Hynoski\HynoHe01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
