Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Alex Smith\SmitAl03,SFO,20,26,211,2,0,4,20,29,125.6,5,13,0,5,0,0,0,0,0,0,0
Frank Gore\GoreFr00,SFO,0,0,0,0,0,0,0,0,,16,112,1,23,1,1,1,0,1,0,0
Kendall Hunter\HuntKe00,SFO,0,0,0,0,0,0,0,0,,9,41,0,8,0,0,0,0,0,0,0
Colin Kaepernick\KaepCo00,SFO,0,0,0,0,0,0,0,0,,1,17,0,17,0,0,0,0,0,0,0
Kyle Williams\WillKy01,SFO,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Michael Crabtree\CrabMi00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,76,0,20,0,0
Randy Moss\MossRa00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,47,1,20,0,0
Vernon Davis\DaviVe00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,43,1,29,0,0
Mario Manningham\MannMa01,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,29,0,11,1,0
Bruce Miller\MillBr02,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Delanie Walker\WalkHu00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Aaron Rodgers\RodgAa00,GNB,30,44,303,2,1,3,24,49,93.3,5,27,0,9,0,0,0,0,0,0,0
Cedric Benson\BensCe00,GNB,0,0,0,0,0,0,0,0,,9,18,0,4,0,0,0,0,0,0,0
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,81,1,49,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,9,77,0,16,1,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,64,0,28,0,0
Jermichael Finley\FinlJe00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,47,1,16,0,0
Greg Jennings\JennGr00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,34,0,10,0,0
