Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Cassel\CassMa00,KAN,11,26,154,0,1,2,6,38,46.0,2,12,0,9,0,0,0,0,0,0,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,23,100,1,12,0,0,0,0,0,0,0
Peyton Hillis\HillPe00,KAN,0,0,0,0,0,0,0,0,,10,30,0,7,1,1,2,0,2,0,0
Tony Moeaki\MoeaTo00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,68,0,38,0,0
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,55,0,27,0,0
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,18,0,13,0,0
Jonathan Baldwin\BaldJo00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
Terrance Copper\CoppTe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ben Roethlisberger\RoetBe00,PIT,9,18,84,1,0,1,3,20,81.7,1,14,0,14,0,0,0,0,0,0,0
Byron Leftwich\LeftBy00,PIT,7,14,73,0,0,0,0,31,65.5,0,0,0,0,0,0,0,0,0,0,0
Jonathan Dwyer\DwyeJo00,PIT,0,0,0,0,0,0,0,0,,19,56,0,17,1,1,4,0,4,0,0
Isaac Redman\RedmIs20,PIT,0,0,0,0,0,0,0,0,,8,21,0,6,3,2,18,0,10,1,1
Emmanuel Sanders\SandEm00,PIT,0,0,0,0,0,0,0,0,,1,4,0,4,7,2,30,0,31,0,0
Heath Miller\MillHe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,47,0,20,0,0
Jerricho Cotchery\CotcJe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,22,0,22,0,0
David Paulson\PaulDa01,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,9,1,0
Mike Wallace\WallMi00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,14,1,7,0,0
Will Johnson\JohnWi00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0
