Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Brandon Weeden\WeedBr00,CLE,20,35,210,2,0,2,18,27,93.7,0,0,0,0,0,0,0,0,0,1,1
Trent Richardson\RichTr00,CLE,0,0,0,0,0,0,0,0,,28,95,0,9,8,6,49,0,27,1,0
Montario Hardesty\HardMo00,CLE,0,0,0,0,0,0,0,0,,4,23,0,12,0,0,0,0,0,0,0
Chris Ogbonnaya\OgboCh00,CLE,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Greg Little\LittGr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,53,0,22,0,0
Josh Gordon\GordJo02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,53,0,23,0,0
Ben Watson\WatsBe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,47,2,17,0,0
Josh Cooper\CoopJo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Alex Smith\SmitAl02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Josh Cribbs\CribJo01,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Mohamed Massaquoi\MassMo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Jordan Cameron\CameJo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Tony Romo\RomoTo00,DAL,35,50,313,1,0,7,56,30,93.2,2,10,0,5,0,0,0,0,0,1,1
Felix Jones\JoneFe00,DAL,0,0,0,0,0,0,0,0,,14,43,1,12,3,2,12,0,7,0,0
Lance Dunbar\DunbLa00,DAL,0,0,0,0,0,0,0,0,,5,10,0,7,3,2,6,0,6,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,15,12,145,1,30,0,0
Miles Austin\AustMi00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,58,0,13,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,51,0,10,0,0
Dwayne Harris\HarrDw00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,20,0,8,0,0
Kevin Ogletree\OgleKe00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,10,0,10,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Lawrence Vickers\VickLa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
