Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Russell Wilson\WilsRu00,SEA,21,27,224,2,0,2,8,32,125.9,5,38,0,20,0,0,0,0,0,0,0
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,0,0,0,,19,46,0,16,3,2,1,0,7,0,0
Robert Turbin\TurbRo00,SEA,0,0,0,0,0,0,0,0,,2,9,0,10,3,3,47,0,20,0,0
Sidney Rice\RiceSi01,SEA,0,0,0,0,0,0,0,0,,1,3,0,3,3,3,49,0,26,0,0
Golden Tate\TateGo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,56,0,32,0,0
Anthony McCoy\McCoAn00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,1,20,0,0
Zach Miller\MillZa01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,16,0,8,0,0
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,14,0,14,0,0
Jermaine Kearse\KearJe01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Evan Moore\MoorEv00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Michael Robinson\RobiMi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,4,0,0
Ryan Tannehill\TannRy00,MIA,18,26,253,1,1,1,7,39,97.1,4,33,0,19,0,0,0,0,0,0,0
Reggie Bush\BushRe00,MIA,0,0,0,0,0,0,0,0,,14,87,1,22,3,1,-5,0,-5,0,0
Daniel Thomas\ThomDa03,MIA,0,0,0,0,0,0,0,0,,9,60,1,20,1,1,18,0,18,0,0
Marlon Moore\MoorMa02,MIA,0,0,0,0,0,0,0,0,,1,9,0,9,,0,0,0,0,0,0
Davone Bess\BessDa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,129,0,39,0,0
Charles Clay\ClayCh00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,84,1,29,0,0
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,17,0,10,0,0
Anthony Fasano\FasaAn00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
