Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Sam Bradford\BradSa00,STL,8,17,205,2,1,2,11,38,106.2,2,1,0,2,0,0,0,0,0,1,0
Kellen Clemens\ClemKe00,STL,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
Steven Jackson\JackSt00,STL,0,0,0,0,0,0,0,0,,24,139,0,46,1,0,0,0,0,0,0
Daryl Richardson\RichDa00,STL,0,0,0,0,0,0,0,0,,7,32,0,9,0,0,0,0,0,0,0
Chris Givens\GiveCh00,STL,0,0,0,0,0,0,0,0,,1,1,0,1,6,5,115,1,37,0,0
Danny Amendola\AmenDa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,38,0,38,0,0
Lance Kendricks\KendLa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,37,1,37,0,0
Matthew Mulligan\MullMa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Brandon Gibson\GibsBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Brian Quick\QuicBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Austin Pettis\PettAu00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Ryan Lindley\LindRy00,ARI,31,52,312,0,4,2,11,28,44.7,1,1,0,1,0,0,0,0,0,0,0
Beanie Wells\WellCh00,ARI,0,0,0,0,0,0,0,0,,17,48,2,12,0,0,0,0,0,0,0
Andre Roberts\RobeAn00,ARI,0,0,0,0,0,0,0,0,,1,13,0,13,13,9,92,0,21,0,0
William Powell\PoweWi00,ARI,0,0,0,0,0,0,0,0,,3,11,0,11,9,6,63,0,25,0,0
LaRod Stephens-Howling\StepLa00,ARI,0,0,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,0
Rob Housler\HousRo01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,82,0,28,0,0
Michael Floyd\FloyMi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,35,0,15,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,12,3,31,0,13,0,0
Jeff King\KingJe00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
LaRon Byrd\ByrdLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
