Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andrew Luck\LuckAn00,IND,24,54,391,4,3,2,19,60,70.8,3,33,0,16,0,0,0,0,0,1,0
Vick Ballard\BallVi00,IND,0,0,0,0,0,0,0,0,,9,41,1,13,4,3,21,0,8,0,0
Donald Brown\BrowDo00,IND,0,0,0,0,0,0,0,0,,6,13,0,7,2,2,10,0,5,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,100,0,60,0,0
Donnie Avery\AverDo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,14,5,91,2,42,0,0
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,51,0,26,0,0
Dwayne Allen\AlleDw00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,50,0,40,0,0
LaVon Brazill\BrazLa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,42,1,42,0,0
Coby Fleener\FleeCo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,26,1,26,0,0
Matthew Stafford\StafMa00,DET,27,46,313,2,1,0,0,46,84.8,1,0,0,0,0,0,0,0,0,1,0
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,7,81,0,67,3,3,21,0,15,0,0
Mikel Leshoure\LeshMi00,DET,0,0,0,0,0,0,0,0,,21,57,1,7,3,2,16,0,13,0,0
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,20,13,171,1,46,0,0
Tony Scheffler\ScheTo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,55,0,39,0,0
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,43,1,17,0,0
Will Heller\HellWi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Ryan Broyles\BroyRy00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Kevin Smith\SmitKe02,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Mike Thomas\ThomMi01,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,-1,0,-1,0,0
