Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Colin Kaepernick\KaepCo00,SFO,21,32,208,0,0,3,17,30,83.9,9,84,0,50,0,0,0,0,0,1,1
Frank Gore\GoreFr00,SFO,0,0,0,0,0,0,0,0,,23,58,1,23,1,0,0,0,0,0,0
Brandon Jacobs\JacoBr00,SFO,0,0,0,0,0,0,0,0,,4,6,0,3,0,0,0,0,0,0,0
Michael Crabtree\CrabMi00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,101,0,30,0,0
Mario Manningham\MannMa01,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,37,0,14,0,0
Randy Moss\MossRa00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,30,0,16,0,0
Bruce Miller\MillBr02,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,11,0,0
Vernon Davis\DaviVe00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,9,0,0
Delanie Walker\WalkHu00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Ted Ginn\GinnTe00,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Sam Bradford\BradSa00,STL,26,39,221,0,0,2,13,22,81.2,3,31,0,14,0,0,0,0,0,0,0
Steven Jackson\JackSt00,STL,0,0,0,0,0,0,0,0,,21,48,0,9,7,5,69,0,22,0,0
Daryl Richardson\RichDa00,STL,0,0,0,0,0,0,0,0,,3,6,0,3,3,3,7,0,4,0,0
Chris Givens\GiveCh00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,14,11,92,0,16,0,0
Lance Kendricks\KendLa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,0,20,0,0
Austin Pettis\PettAu00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,0,7,0,0
Steve Smith\SmitSt02,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Brian Quick\QuicBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Isaiah Pead\PeadIs00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
