Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Josh Freeman\FreeJo00,TAM,18,39,242,2,1,1,7,40,72.8,2,7,0,5,0,0,0,0,0,1,0
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,18,56,0,9,4,3,42,0,26,0,0
Danny Ware\WareDa00,TAM,0,0,0,0,0,0,0,0,,1,8,0,8,1,0,0,0,0,0,0
Mike Williams\WillMi04,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,93,1,40,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,55,0,24,0,0
Dallas Clark\ClarDa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,21,1,11,0,0
Luke Stocker\StocLu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,11,0,0
Tiquan Underwood\UndeTi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,12,0,12,0,0
Erik Lorig\LoriEr99,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Peyton Manning\MannPe00,DEN,27,38,242,3,1,0,0,28,103.2,2,-5,0,-2,0,0,0,0,0,0,0
Knowshon Moreno\MoreKn00,DEN,0,0,0,0,0,0,0,0,,20,69,0,16,5,4,14,0,5,0,0
Ronnie Hillman\HillRo00,DEN,0,0,0,0,0,0,0,0,,5,29,0,9,0,0,0,0,0,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,99,2,28,0,0
Jacob Tamme\TammJa00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,89,0,15,0,0
Matt Willis\WillMa00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,22,0,9,0,0
Eric Decker\DeckEr00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,12,0,0
Mitch Unrein\UnreMi00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
Joel Dreessen\DreeJo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Lance Ball\BallLa00,DEN,0,0,0,0,0,0,0,0,,2,-2,0,0,0,0,0,0,0,0,0
