Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Joe Flacco\FlacJo00,BAL,16,21,182,3,1,2,9,31,121.4,5,9,0,5,0,0,0,0,0,2,1
Ray Rice\RiceRa00,BAL,0,0,0,0,0,0,0,0,,20,121,1,46,4,3,15,0,9,0,0
Bernard Pierce\PierBe00,BAL,0,0,0,0,0,0,0,0,,8,53,0,21,2,2,11,0,11,0,0
Vonta Leach\LeacVo00,BAL,0,0,0,0,0,0,0,0,,2,3,0,2,2,2,11,0,8,0,0
Anquan Boldin\BoldAn00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,78,2,31,0,0
Dennis Pitta\PittDe00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,46,1,14,0,0
Torrey Smith\SmitTo02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,21,0,21,0,0
Jacoby Jones\JoneJa03,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Robert Griffin\GrifRo01,WAS,15,26,242,1,0,3,24,31,101.8,7,34,0,13,0,0,0,0,0,1,0
Kirk Cousins\CousKi00,WAS,2,2,26,1,0,0,0,15,158.3,0,0,0,0,0,0,0,0,0,0,0
Alfred Morris\MorrAl00,WAS,0,0,0,0,0,0,0,0,,23,129,1,29,1,0,0,0,0,1,1
Evan Royster\RoysEv00,WAS,0,0,0,0,0,0,0,0,,3,11,0,5,1,0,0,0,0,0,0
Leonard Hankerson\HankLe00,WAS,0,0,0,0,0,0,0,0,,1,3,0,3,5,4,67,0,29,0,0
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,1,2,0,2,9,5,83,1,23,0,0
Santana Moss\MossSa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,52,0,31,0,0
Josh Morgan\MorgJo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,30,1,21,0,0
Darrel Young\YounDa01,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,28,0,28,0,0
Logan Paulsen\PaulLo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Niles Paul\PaulNi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0
