Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jay Cutler\CutlJa00,CHI,22,44,260,1,2,2,4,39,57.0,2,16,0,11,0,0,0,0,0,1,0
Jason Campbell\CampJa00,CHI,6,9,64,1,0,0,0,18,124.3,1,8,0,8,0,0,0,0,0,0,0
Matt Forte\FortMa00,CHI,0,0,0,0,0,0,0,0,,13,85,0,36,7,6,34,0,18,0,0
Michael Bush\BushMi00,CHI,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0
Armando Allen\AlleAr00,CHI,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Brandon Marshall\MarsBr00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,19,10,160,1,39,0,0
Alshon Jeffery\JeffAl00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,57,1,30,0,0
Devin Hester\HestDe99,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,39,0,14,0,0
Kellen Davis\DaviKe01,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,25,0,11,0,0
Kyle Adams\AdamKy00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0
Christian Ponder\PondCh00,MIN,11,17,91,0,1,1,14,16,53.8,4,0,0,3,0,0,0,0,0,0,0
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,31,154,2,51,2,2,16,0,14,1,0
Toby Gerhart\GerhTo00,MIN,0,0,0,0,0,0,0,0,,3,17,0,6,1,1,-1,0,-1,0,0
Michael Jenkins\JenkMi00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,36,0,11,0,0
Jarius Wright\WrigJa02,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,29,0,16,0,0
Jerome Simpson\SimpJe00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Devin Aromashodu\AromDe00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Rhett Ellison\ElliRh00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-2,0,-2,0,0
