Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tony Romo\RomoTo00,DAL,25,43,268,1,1,3,29,27,74.6,0,0,0,0,0,0,0,0,0,0,0
DeMarco Murray\MurrDe00,DAL,0,0,0,0,0,0,0,0,,21,53,1,7,6,4,22,0,7,0,0
Felix Jones\JoneFe00,DAL,0,0,0,0,0,0,0,0,,2,7,0,4,0,0,0,0,0,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,62,0,25,0,0
Miles Austin\AustMi00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,46,0,15,0,0
Dwayne Harris\HarrDw00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,33,0,21,0,0
Kevin Ogletree\OgleKe00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,28,0,23,0,0
Lawrence Vickers\VickLa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,11,0,0
Lance Dunbar\DunbLa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
James Hanna\HannJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,1,-11,0,-11,6,4,50,1,27,0,0
Andy Dalton\DaltAn00,CIN,20,33,206,1,1,5,16,25,76.1,1,0,0,0,0,0,0,0,0,0,0
BenJarvus Green-Ellis\GreeBe00,CIN,0,0,0,0,0,0,0,0,,12,89,0,38,4,3,13,0,5,0,0
Marvin Jones\JoneMa02,CIN,0,0,0,0,0,0,0,0,,1,37,0,37,4,3,45,0,17,0,0
Brian Leonard\LeonBr00,CIN,0,0,0,0,0,0,0,0,,6,20,0,5,0,0,0,0,0,0,0
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,44,0,17,0,0
Andrew Hawkins\HawkAn00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,44,1,11,0,0
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,43,0,25,0,0
Orson Charles\CharOr00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Chris Pressley\PresCh00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
