Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Philip Rivers\RivePh00,SDG,21,41,200,3,0,1,0,39,89.5,3,3,0,5,1,0,0,0,0,0,0
Danario Alexander\AlexDa00,SDG,0,1,0,0,0,0,0,0,39.6,0,0,0,0,11,7,88,2,39,0,0
Ryan Mathews\MathRy00,SDG,0,0,0,0,0,0,0,0,,25,65,0,9,1,0,0,0,0,0,0
Ronnie Brown\BrowRo05,SDG,0,0,0,0,0,0,0,0,,2,17,0,17,4,1,7,0,7,0,0
Le'Ron McClain\McClLe00,SDG,0,0,0,0,0,0,0,0,,3,4,0,2,1,0,0,0,0,0,0
Eric Weddle\WeddEr99,SDG,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Jackie Battle\BattJa00,SDG,0,0,0,0,0,0,0,0,,2,1,0,2,0,0,0,0,0,0,0
Micheal Spurlock\SpurMi00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,64,0,13,0,0
Antonio Gates\GateAn00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,31,0,14,0,0
Malcom Floyd\FloyMa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,10,1,4,0,0
Dante Rosario\RosaDa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ben Roethlisberger\RoetBe00,PIT,22,42,285,3,1,2,14,40,87.9,5,31,0,10,0,0,0,0,0,1,1
Jonathan Dwyer\DwyeJo00,PIT,0,0,0,0,0,0,0,0,,8,32,0,14,4,3,18,0,9,0,0
Chris Rainey\RainCh00,PIT,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0
Mike Wallace\WallMi00,PIT,0,0,0,0,0,0,0,0,,1,0,0,0,11,7,112,2,40,0,0
Heath Miller\MillHe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,66,0,26,0,0
Emmanuel Sanders\SandEm00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,36,0,31,0,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,35,1,14,0,0
Plaxico Burress\BurrPl00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,18,0,18,0,0
Isaac Redman\RedmIs20,PIT,0,0,0,0,0,0,0,0,,2,0,0,0,1,0,0,0,0,0,0
Jerricho Cotchery\CotcJe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
