Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,19,33,231,2,0,2,14,45,99.4,4,7,0,3,0,0,0,0,0,1,0
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,22,93,0,12,2,2,51,1,45,1,1
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,9,40,2,13,4,2,24,0,13,0,0
Steve Smith\SmitSt01,CAR,0,0,0,0,0,0,0,0,,1,15,0,15,9,6,57,1,18,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,56,0,26,0,0
Gary Barnidge\BarnGa01,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Louis Murphy\MurpLo00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,18,0,11,0,0
Ben Hartsock\HartBe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Armond Smith\SmitAr00,CAR,0,0,0,0,0,0,0,0,,3,0,0,3,0,0,0,0,0,0,0
Philip Rivers\RivePh00,SDG,16,23,121,1,0,6,27,30,96.5,3,4,0,3,0,0,0,0,0,4,2
Curtis Brinkley\BrinCu00,SDG,0,0,0,0,0,0,0,0,,6,42,0,13,3,3,14,0,6,0,0
Ryan Mathews\MathRy00,SDG,0,0,0,0,0,0,0,0,,4,22,0,9,4,3,8,0,9,0,0
Jackie Battle\BattJa00,SDG,0,0,0,0,0,0,0,0,,3,2,0,3,2,2,12,0,6,0,0
Malcom Floyd\FloyMa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,39,0,30,0,0
Antonio Gates\GateAn00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,31,1,9,0,0
Dante Rosario\RosaDa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Micheal Spurlock\SpurMi00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Danario Alexander\AlexDa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
