Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Christian Ponder\PondCh00,MIN,17,24,131,0,0,2,22,14,83.9,4,6,1,5,0,0,0,0,0,1,0
Adrian Peterson\PeteAd01,MIN,0,0,0,0,0,0,0,0,,24,212,1,82,0,0,0,0,0,0,0
Jerome Simpson\SimpJe00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,27,0,13,1,0
Stephen Burton\BurtSt00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,22,0,13,0,0
Kyle Rudolph\RudoKy00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,22,0,14,0,0
John Carlson\CarlJo00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,17,0,14,0,0
Jarius Wright\WrigJa02,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Michael Jenkins\JenkMi00,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Toby Gerhart\GerhTo00,MIN,0,0,0,0,0,0,0,0,,5,-5,0,2,3,2,21,0,12,0,0
Sam Bradford\BradSa00,STL,35,55,377,3,1,4,32,26,94.3,2,9,0,9,0,0,0,0,0,0,0
Steven Jackson\JackSt00,STL,0,0,0,0,0,0,0,0,,13,73,0,15,10,8,73,0,18,0,0
Daryl Richardson\RichDa00,STL,0,0,0,0,0,0,0,0,,3,5,0,3,6,3,25,0,13,0,0
Brandon Gibson\GibsBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,76,0,18,0,0
Danny Amendola\AmenDa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,58,1,26,0,0
Austin Pettis\PettAu00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,55,0,23,0,0
Lance Kendricks\KendLa00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,35,1,16,0,0
Chris Givens\GiveCh00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,22,0,22,0,0
Cory Harkey\HarkCo00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,0
Brian Quick\QuicBr00,STL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,1,8,0,0
