Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ben Roethlisberger\RoetBe00,PIT,24,40,339,2,1,4,20,60,93.6,2,2,0,3,0,0,0,0,0,0,0
Isaac Redman\RedmIs20,PIT,0,0,0,0,0,0,0,0,,3,30,0,22,1,1,14,0,14,0,0
Jonathan Dwyer\DwyeJo00,PIT,0,0,0,0,0,0,0,0,,9,22,1,6,1,0,0,0,0,0,0
Chris Rainey\RainCh00,PIT,0,0,0,0,0,0,0,0,,3,15,0,6,2,0,0,0,0,0,0
Mike Wallace\WallMi00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,95,0,60,0,0
Heath Miller\MillHe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,92,1,30,0,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,76,1,18,2,1
Will Johnson\JohnWi00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,34,0,21,0,0
Jerricho Cotchery\CotcJe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,28,0,21,0,0
Emmanuel Sanders\SandEm00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tony Romo\RomoTo00,DAL,30,42,341,2,0,1,13,29,111.3,4,-4,0,4,0,0,0,0,0,0,0
DeMarco Murray\MurrDe00,DAL,0,0,0,0,0,0,0,0,,14,81,1,28,4,4,31,0,13,1,1
Felix Jones\JoneFe00,DAL,0,0,0,0,0,0,0,0,,3,10,0,4,0,0,0,0,0,0,0
Miles Austin\AustMi00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,79,0,19,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,59,1,24,0,0
Dwayne Harris\HarrDw00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,46,0,18,0,0
James Hanna\HannJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,45,0,29,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,43,1,17,0,0
Lawrence Vickers\VickLa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
Cole Beasley\BeasCo00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,8,0,0
Kevin Ogletree\OgleKe00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
