Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Josh Freeman\FreeJo00,TAM,26,47,279,0,4,2,11,24,37.5,2,8,0,9,0,0,0,0,0,1,1
Dan Orlovsky\OrloDa00,TAM,4,7,51,0,0,0,0,24,80.1,0,0,0,0,0,0,0,0,0,0,0
LeGarrette Blount\BlouLe00,TAM,0,0,0,0,0,0,0,0,,4,25,0,10,0,0,0,0,0,0,0
Keith Tandy\TandKe00,TAM,0,0,0,0,0,0,0,0,,1,18,0,18,0,0,0,0,0,0,0
Doug Martin\MartDo00,TAM,0,0,0,0,0,0,0,0,,9,16,0,11,5,3,19,0,8,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,81,0,19,0,0
Mike Williams\WillMi04,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,63,0,24,0,0
Tiquan Underwood\UndeTi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,46,0,19,0,0
Dallas Clark\ClarDa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,42,0,10,0,0
Danny Ware\WareDa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,32,0,23,0,0
Chris Owusu\OwusCh00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,24,0,24,0,0
Luke Stocker\StocLu00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,23,0,15,0,0
Nate Byham\ByhaNa00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Drew Brees\BreeDr00,NOR,26,39,307,4,0,1,9,34,124.6,1,11,0,11,0,0,0,0,0,0,0
Mark Ingram\IngrMa01,NOR,0,0,0,0,0,0,0,0,,14,90,1,31,0,0,0,0,0,0,0
Darren Sproles\SproDa00,NOR,0,0,0,0,0,0,0,0,,5,22,0,15,8,5,21,1,7,0,0
Pierre Thomas\ThomPi00,NOR,0,0,0,0,0,0,0,0,,4,13,0,7,4,3,26,0,20,0,0
Devery Henderson\HendDe00,NOR,0,0,0,0,0,0,0,0,,1,13,0,13,1,0,0,0,0,0,0
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,69,0,24,0,0
Joe Morgan\MorgJo01,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,61,1,34,0,0
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,60,0,26,0,0
Lance Moore\MoorLa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,42,1,16,0,0
David Thomas\ThomDa02,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,1,12,0,0
Jed Collins\CollJe01,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Travaris Cadet\CadeTr00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0
