Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Kirk Cousins\CousKi00,WAS,26,37,329,2,1,2,21,54,104.4,3,22,0,17,0,0,0,0,0,1,0
Alfred Morris\MorrAl00,WAS,0,0,0,0,0,0,0,0,,27,87,2,11,2,2,6,0,4,0,0
Darrel Young\YounDa01,WAS,0,0,0,0,0,0,0,0,,3,10,0,6,1,1,8,0,8,0,0
Evan Royster\RoysEv00,WAS,0,0,0,0,0,0,0,0,,2,3,1,4,4,2,30,0,25,0,0
Pierre Garcon\GarcPi00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,65,0,17,0,0
Josh Morgan\MorgJo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,60,0,32,0,0
Santana Moss\MossSa00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,57,0,20,1,0
Leonard Hankerson\HankLe00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,56,2,54,0,0
Logan Paulsen\PaulLo00,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,47,0,19,0,0
Brandon Weeden\WeedBr00,CLE,21,35,244,1,2,2,11,69,66.8,1,9,0,9,0,0,0,0,0,1,0
Trent Richardson\RichTr00,CLE,0,0,0,0,0,0,0,0,,11,28,2,14,4,3,4,0,9,0,0
Josh Cribbs\CribJo01,CLE,0,0,0,0,0,0,0,0,,1,16,0,16,1,0,0,0,0,0,0
Montario Hardesty\HardMo00,CLE,0,0,0,0,0,0,0,0,,2,5,0,3,0,0,0,0,0,0,0
Greg Little\LittGr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,74,0,30,0,0
Travis Benjamin\BenjTr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,69,1,69,0,0
Jordan Cameron\CameJo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,34,0,28,0,0
Josh Gordon\GordJo02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,27,0,12,0,0
Mohamed Massaquoi\MassMo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,0,9,0,0
Ben Watson\WatsBe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,0,8,0,0
Alex Smith\SmitAl02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,0,7,0,0
