Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jay Cutler\CutlJa00,CHI,18,31,257,1,0,2,12,60,95.8,5,29,0,19,0,0,0,0,0,1,0
Matt Forte\FortMa00,CHI,0,0,0,0,0,0,0,0,,24,103,1,13,2,2,21,0,18,1,0
Kahlil Bell\BellKa00,CHI,0,0,0,0,0,0,0,0,,4,12,0,6,0,0,0,0,0,0,0
Devin Hester\HestDe99,CHI,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Earl Bennett\BennEa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,109,1,60,0,0
Alshon Jeffery\JeffAl00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,76,0,55,0,0
Matt Spaeth\SpaeMa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Evan Rodriguez\RodrEv00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Kellen Davis\DaviKe01,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brandon Marshall\MarsBr00,CHI,0,0,0,0,0,0,0,0,,1,-2,0,-2,14,5,42,0,19,0,0
Matthew Stafford\StafMa00,DET,24,42,272,3,1,1,17,28,90.6,3,9,0,5,0,0,0,0,0,2,2
Mikel Leshoure\LeshMi00,DET,0,0,0,0,0,0,0,0,,15,57,0,13,5,3,20,0,13,0,0
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,2,6,0,5,2,2,19,0,10,1,1
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,14,5,72,0,24,0,0
Tony Scheffler\ScheTo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,53,0,28,0,0
Brian Robiskie\RobiBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,30,1,21,0,0
Will Heller\HellWi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,29,1,19,0,0
Kris Durham\DurhKr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,25,1,25,0,0
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,6,0,0
Mike Thomas\ThomMi01,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Shaun Chapas\ChapSh00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
