Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,MIA,26,41,431,1,2,4,37,80,86.5,1,0,0,0,0,0,0,0,0,1,1
Reggie Bush\BushRe00,MIA,0,0,0,0,0,0,0,0,,17,67,0,21,1,0,0,0,0,0,0
Lamar Miller\MillLa01,MIA,0,0,0,0,0,0,0,0,,4,13,0,7,0,0,0,0,0,0,0
Daniel Thomas\ThomDa03,MIA,0,0,0,0,0,0,0,0,,4,4,0,3,1,1,6,0,6,0,0
Jorvorskie Lane\LaneJo00,MIA,0,0,0,0,0,0,0,0,,3,2,1,1,0,0,0,0,0,0,0
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,19,12,253,1,80,0,0
Davone Bess\BessDa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,123,0,21,0,0
Anthony Fasano\FasaAn00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,30,0,8,0,0
Legedu Naanee\NaanLe00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,19,0,19,1,1
Charles Clay\ClayCh00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kevin Kolb\KolbKe00,ARI,29,48,324,3,2,8,55,46,84.0,0,0,0,0,0,0,0,0,0,0,0
Ryan Williams\WillRy00,ARI,0,0,0,0,0,0,0,0,,13,26,0,5,2,1,0,0,0,0,0
William Powell\PoweWi00,ARI,0,0,0,0,0,0,0,0,,2,2,0,2,2,2,6,0,4,1,0
Andre Roberts\RobeAn00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,118,2,46,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,15,8,64,1,13,0,0
Rob Housler\HousRo01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,48,0,33,0,0
Michael Floyd\FloyMi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,35,0,10,0,0
Early Doucet\DoucEa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,31,0,10,0,0
Jeff King\KingJe00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,20,0,0
