Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Aaron Rodgers\RodgAa00,GNB,20,32,235,3,1,5,28,31,103.0,5,57,0,19,0,0,0,0,0,0,0
Alex Green\GreeAl00,GNB,0,0,0,0,0,0,0,0,,10,63,0,41,1,0,0,0,0,0,0
Cedric Benson\BensCe00,GNB,0,0,0,0,0,0,0,0,,7,20,0,9,2,2,21,0,18,0,0
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,0,0,0,,2,9,1,7,1,1,6,0,6,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,82,1,31,0,0
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,46,2,24,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,29,0,19,0,0
D.J. Williams\WillD.00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,20,0,12,0,0
Donald Driver\DrivDo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Jermichael Finley\FinlJe00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,11,0,6,0,0
Tom Crabtree\CrabTo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Andrew Luck\LuckAn00,IND,31,55,362,2,1,4,17,30,81.0,6,24,1,9,0,0,0,0,0,1,0
Donald Brown\BrowDo00,IND,0,0,0,0,0,0,0,0,,17,84,0,14,2,2,8,0,5,0,0
Vick Ballard\BallVi00,IND,0,0,0,0,0,0,0,0,,6,11,0,7,1,1,4,0,4,0,0
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,20,13,212,1,30,0,0
Coby Fleener\FleeCo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,41,0,18,0,0
Dwayne Allen\AlleDw00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,38,1,11,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,1,0,0,0,9,3,37,0,26,0,0
Donnie Avery\AverDo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,22,0,10,0,0
Nathan Palmer\PalmNa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
