Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matthew Stafford\StafMa00,DET,22,45,311,1,1,0,0,57,69.8,3,7,1,3,0,0,0,0,0,0,0
Mikel Leshoure\LeshMi00,DET,0,0,0,0,0,0,0,0,,15,70,0,14,4,3,24,0,13,0,0
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,7,38,0,13,2,1,3,0,3,0,0
Nate Burleson\BurlNa00,DET,0,0,0,0,0,0,0,0,,2,22,0,16,9,4,24,1,17,0,0
Keiland Williams\WillKe03,DET,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,135,0,37,0,0
Tony Scheffler\ScheTo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,81,0,57,0,0
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,38,0,16,0,0
Titus Young\YounTi00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,6,0,3,0,0
Michael Vick\VickMi00,PHI,28,46,311,2,2,3,25,70,77.4,9,59,0,12,0,0,0,0,0,1,0
LeSean McCoy\McCoLe01,PHI,0,0,0,0,0,0,0,0,,14,22,0,11,8,7,26,1,17,0,0
Bryce Brown\BrowBr02,PHI,0,0,0,0,0,0,0,0,,5,4,0,5,0,0,0,0,0,0,0
Jeremy Maclin\MaclJe00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,130,1,70,0,0
Brent Celek\CeleBr00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,33,0,11,0,0
Jason Avant\AvanJa00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,21,0,17,0,0
Riley Cooper\CoopRi00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,10,0,0
Clay Harbor\HarbCl00,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,6,0,0
DeSean Jackson\JackDe00,PHI,0,0,0,0,0,0,0,0,,1,-14,0,-14,8,5,74,0,30,0,0
