Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andrew Luck\LuckAn00,IND,22,44,280,0,2,4,23,29,51.3,1,-1,0,-1,0,0,0,0,0,1,1
Vick Ballard\BallVi00,IND,0,0,0,0,0,0,0,0,,8,25,0,5,3,2,17,0,9,0,0
Delone Carter\CartDe01,IND,0,0,0,0,0,0,0,0,,4,13,0,5,0,0,0,0,0,0,0
Mewelde Moore\MoorMe00,IND,0,0,0,0,0,0,0,0,,3,5,0,5,0,0,0,0,0,0,0
Reggie Wayne\WaynRe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,87,0,29,1,1
Coby Fleener\FleeCo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,42,0,12,0,0
Dwayne Allen\AlleDw00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,33,0,21,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,31,0,16,0,0
LaVon Brazill\BrazLa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
Nathan Palmer\PalmNa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-4,0,-4,0,0
Donnie Avery\AverDo00,IND,0,0,0,0,0,0,0,0,,1,-1,0,-1,12,4,60,0,24,0,0
Mark Sanchez\SancMa00,NYJ,11,18,82,2,0,1,6,12,109.0,1,-1,0,-1,0,0,0,0,0,0,0
Tim Tebow\TeboTi00,NYJ,1,1,23,0,0,0,0,23,118.7,4,7,0,3,0,0,0,0,0,0,0
Shonn Greene\GreeSh00,NYJ,0,0,0,0,0,0,0,0,,32,161,3,21,0,0,0,0,0,0,0
Joe McKnight\McKnJo00,NYJ,0,0,0,0,0,0,0,0,,3,71,0,61,0,0,0,0,0,0,0
Bilal Powell\PoweBi00,NYJ,0,0,0,0,0,0,0,0,,4,14,0,8,2,1,1,0,1,0,0
Jeremy Kerley\KerlJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,24,0,11,0,0
Nick Bellore\BellNi01,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,0,23,0,0
Stephen Hill\HillSt00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,23,1,9,0,0
Chaz Schilens\SchiCh00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,23,0,12,0,0
Dustin Keller\KellDu00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Jason Hill\HillJa00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,5,0,0
Jeff Cumberland\CumbJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
