Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Mark Sanchez\SancMa00,NYJ,28,41,328,1,1,4,31,26,90.3,1,0,0,0,0,0,0,0,0,2,1
Shonn Greene\GreeSh00,NYJ,0,0,0,0,0,0,0,0,,16,54,1,8,9,6,34,0,12,1,0
Joe McKnight\McKnJo00,NYJ,0,0,0,0,0,0,0,0,,7,23,0,13,0,0,0,0,0,0,0
Lex Hilliard\HillLe00,NYJ,0,0,0,0,0,0,0,0,,3,14,0,9,1,1,8,0,8,0,0
Tim Tebow\TeboTi00,NYJ,0,0,0,0,0,0,0,0,,4,12,0,4,0,0,0,0,0,0,0
Jeremy Kerley\KerlJe00,NYJ,0,0,0,0,0,0,0,0,,1,2,0,2,11,7,120,0,26,0,0
Jonathan Grimes\GrimJo01,NYJ,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,3,0,3,0,0
Dustin Keller\KellDu00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,93,1,23,0,0
Stephen Hill\HillSt00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,55,0,21,0,0
Konrad Reuland\ReulKo00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Jeff Cumberland\CumbJe00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Chaz Schilens\SchiCh00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
Tom Brady\BradTo00,NWE,26,42,259,2,0,1,9,21,95.2,0,0,0,0,0,0,0,0,0,0,0
Stevan Ridley\RidlSt00,NWE,0,0,0,0,0,0,0,0,,17,65,0,12,0,0,0,0,0,0,0
Shane Vereen\VereSh00,NWE,0,0,0,0,0,0,0,0,,8,49,0,16,1,1,10,0,10,0,0
Danny Woodhead\WoodDa02,NWE,0,0,0,0,0,0,0,0,,6,17,0,8,4,4,29,0,20,0,0
Rob Gronkowski\GronRo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,78,2,19,0,0
Wes Welker\WelkWe00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,66,0,21,0,0
Aaron Hernandez\HernAa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,54,0,17,0,0
Deion Branch\BranDe00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,5,0,0
Brandon Lloyd\LloyBr00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,8,1,6,0,6,0,0
