Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt Hasselbeck\HassMa00,TEN,22,33,205,1,0,2,12,29,93.6,1,-2,0,-2,0,0,0,0,0,0,0
Chris Johnson\JohnCh04,TEN,0,0,0,0,0,0,0,0,,18,195,2,83,2,1,3,0,3,0,0
Jamie Harper\HarpJa01,TEN,0,0,0,0,0,0,0,0,,7,8,2,8,0,0,0,0,0,0,0
Nate Washington\WashNa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,43,1,17,1,0
Damian Williams\WillDa04,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,38,0,19,0,0
Jared Cook\CookJa02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,37,0,29,0,0
Kenny Britt\BritKe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,30,0,16,0,0
Kendall Wright\WrigKe01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,19,0,11,0,0
Craig Stevens\StevCr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Quinn Johnson\JohnQu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Taylor Thompson\ThomTa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Darius Reynaud\ReynDa00,TEN,0,0,0,0,0,0,0,0,,1,-4,0,-4,2,2,18,0,9,0,0
Ryan Fitzpatrick\FitzRy00,BUF,27,35,225,3,1,1,9,27,109.8,2,23,0,13,0,0,0,0,0,1,1
Fred Jackson\JackFr02,BUF,0,0,0,0,0,0,0,0,,9,71,0,13,11,8,49,1,9,0,0
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,0,0,0,,12,70,0,20,6,6,32,0,20,0,0
Brad Smith\SmitBr01,BUF,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,5,0,5,0,0
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,71,1,27,0,0
Donald Jones\JoneDo00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,47,1,20,0,0
Scott Chandler\ChanSc00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,15,0,13,0,0
T.J. Graham\GrahT.00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
