Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Joe Flacco\FlacJo00,BAL,15,24,153,1,0,1,8,27,94.6,2,1,0,2,0,0,0,0,0,0,0
Ray Rice\RiceRa00,BAL,0,0,0,0,0,0,0,0,,25,98,1,11,2,2,6,0,4,0,0
Bernard Pierce\PierBe00,BAL,0,0,0,0,0,0,0,0,,7,26,1,12,0,0,0,0,0,0,0
Vonta Leach\LeacVo00,BAL,0,0,0,0,0,0,0,0,,2,8,0,5,0,0,0,0,0,0,0
Tyrod Taylor\TaylTy00,BAL,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Anquan Boldin\BoldAn00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,57,0,21,0,0
Torrey Smith\SmitTo02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,46,1,26,0,0
Dennis Pitta\PittDe00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,33,0,27,0,0
Ed Dickson\DickEd00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,8,0,0
Jacoby Jones\JoneJa03,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Brandon Weeden\WeedBr00,CLE,20,37,176,0,2,1,2,26,44.4,2,11,0,6,0,0,0,0,0,0,0
Trent Richardson\RichTr00,CLE,0,0,0,0,0,0,0,0,,25,105,0,19,9,6,31,0,9,1,0
Greg Little\LittGr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,52,0,23,0,0
Josh Gordon\GordJo02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,38,0,26,0,0
Ben Watson\WatsBe00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,0,11,0,0
Travis Benjamin\BenjTr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,19,0,19,0,0
Alex Smith\SmitAl02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,8,0,4,0,0
Mohamed Massaquoi\MassMo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,0,6,0,0
Jordan Cameron\CameJo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Chris Ogbonnaya\OgboCh00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
