Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jay Cutler\CutlJa00,CHI,19,26,229,3,0,3,24,47,138.1,1,12,0,12,0,0,0,0,0,1,1
Matt Forte\FortMa00,CHI,0,0,0,0,0,0,0,0,,12,103,1,46,2,2,45,0,47,0,0
Armando Allen\AlleAr00,CHI,0,0,0,0,0,0,0,0,,10,32,0,10,0,0,0,0,0,0,0
Michael Bush\BushMi00,CHI,0,0,0,0,0,0,0,0,,10,16,0,9,1,1,17,0,17,0,0
Brandon Marshall\MarsBr00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,122,3,39,0,0
Earl Bennett\BennEa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,22,0,9,0,0
Devin Hester\HestDe99,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,14,0,0
Lance Louis\LouiLa20,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Evan Rodriguez\RodrEv00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Eric Weems\WeemEr00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jason Campbell\CampJa00,CHI,0,0,0,0,0,0,0,0,,3,-3,0,-1,0,0,0,0,0,0,0
Matt Hasselbeck\HassMa00,TEN,20,35,200,1,1,2,20,30,71.1,2,18,0,16,0,0,0,0,0,0,0
Chris Johnson\JohnCh04,TEN,0,0,0,0,0,0,0,0,,16,141,1,80,6,4,10,0,8,2,2
Kenny Britt\BritKe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,67,0,23,1,1
Nate Washington\WashNa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,35,1,30,0,0
Kendall Wright\WrigKe01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,30,0,18,0,0
Craig Stevens\StevCr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,26,0,14,1,0
Damian Williams\WillDa04,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,0,19,0,0
Taylor Thompson\ThomTa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Jared Cook\CookJa02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,6,0,7,1,1
