Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Alex Smith\SmitAl03,KAN,21,34,173,2,0,1,2,26,94.4,4,25,0,13,0,0,0,0,0,1,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,16,77,1,18,6,3,23,0,15,0,0
Knile Davis\DaviKn00,KAN,0,0,0,0,0,0,0,0,,4,12,0,4,1,1,5,0,5,0,0
Cyrus Gray\GrayCy00,KAN,0,0,0,0,0,0,0,0,,2,8,0,9,1,1,6,0,6,0,0
Anthony Sherman\SherAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,44,0,26,0,0
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,43,0,21,0,0
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,30,0,15,0,0
Donnie Avery\AverDo00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,11,1,6,0,0
Anthony Fasano\FasaAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,8,0,4,0,0
Junior Hemingway\HemiJu00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,3,0,0
Chase Daniel\DaniCh00,KAN,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0
Blaine Gabbert\GabbBl00,JAX,16,35,121,0,2,6,50,18,30.8,4,16,0,7,0,0,0,0,0,0,0
Chad Henne\HennCh01,JAX,3,6,36,0,0,0,0,24,68.7,0,0,0,0,0,0,0,0,0,0,0
Maurice Jones-Drew\DrewMa00,JAX,0,0,0,0,0,0,0,0,,15,45,0,10,2,0,0,0,0,0,0
Justin Forsett\ForsJu00,JAX,0,0,0,0,0,0,0,0,,1,7,0,7,5,4,22,0,8,0,0
Jordan Todman\TodmJo00,JAX,0,0,0,0,0,0,0,0,,1,2,0,2,4,3,20,0,15,0,0
Denard Robinson\RobiDe00,JAX,0,0,0,0,0,0,0,0,,2,1,0,1,0,0,0,0,0,0,0
Cecil Shorts\ShorCe00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,11,3,40,0,24,0,0
Allen Reisner\ReisAl00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,31,0,16,0,0
Ace Sanders\SandAc00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,14,0,18,0,0
Mike Brown\BrowMi00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,0
Will Ta'ufo'ou\TaufWi00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Clay Harbor\HarbCl00,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
