Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,MIA,24,38,272,1,1,4,17,34,82.3,5,3,0,3,0,0,0,0,0,0,0
Daniel Thomas\ThomDa03,MIA,0,0,0,0,0,0,0,0,,8,14,1,4,1,1,5,0,5,0,0
Lamar Miller\MillLa01,MIA,0,0,0,0,0,0,0,0,,10,3,0,5,1,1,7,0,7,0,0
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,14,9,114,1,34,0,0
Brandon Gibson\GibsBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,77,0,24,0,0
Charles Clay\ClayCh00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,54,0,20,0,0
Mike Wallace\WallMi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,15,0,15,0,0
Brandon Weeden\WeedBr00,CLE,26,53,289,1,3,6,45,22,48.4,0,0,0,0,0,0,0,0,0,1,0
Trent Richardson\RichTr00,CLE,0,0,0,0,0,0,0,0,,13,47,0,10,6,2,30,0,18,0,0
Jordan Cameron\CameJo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,108,1,22,0,0
Davone Bess\BessDa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,47,0,17,0,0
Travis Benjamin\BenjTr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,44,0,20,1,0
Greg Little\LittGr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,26,0,10,0,0
Tori Gurley\GurlTo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
Chris Ogbonnaya\OgboCh00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,10,0,10,0,0
Gary Barnidge\BarnGa01,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
