Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Eli Manning\MannEl00,NYG,27,42,450,4,3,3,22,70,102.3,2,8,0,9,0,0,0,0,0,0,0
Da'Rel Scott\ScotDa01,NYG,0,0,0,0,0,0,0,0,,5,23,0,16,8,5,51,0,23,0,0
David Wilson\WilsDa01,NYG,0,0,0,0,0,0,0,0,,7,19,0,13,1,0,0,0,0,2,2
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,118,3,70,0,0
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,114,0,57,0,0
Rueben Randle\RandRu00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,101,0,26,0,0
Brandon Myers\MyerBr00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,66,1,19,0,0
Henry Hynoski\HynoHe01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tony Romo\RomoTo00,DAL,36,49,263,2,1,2,19,23,90.8,2,-1,0,0,0,0,0,0,0,1,0
DeMarco Murray\MurrDe00,DAL,0,0,0,0,0,0,0,0,,20,86,0,13,10,8,39,0,11,0,0
Phillip Tanner\TannPh00,DAL,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,9,0,9,1,0
Miles Austin\AustMi00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,72,0,18,0,0
Jason Witten\WittJa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,70,2,21,0,0
Terrance Williams\WillTe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,32,0,23,0,0
Dez Bryant\BryaDe01,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,22,0,7,0,0
Dwayne Harris\HarrDw00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,12,0,0
Gavin Escobar\EscoGa00,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
