Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jake Locker\LockJa00,TEN,11,20,125,0,0,1,8,25,74.0,5,3,0,5,0,0,0,0,0,0,0
Chris Johnson\JohnCh04,TEN,0,0,0,0,0,0,0,0,,25,70,0,11,0,0,0,0,0,0,0
Jackie Battle\BattJa00,TEN,0,0,0,0,0,0,0,0,,8,21,1,8,0,0,0,0,0,0,0
Shonn Greene\GreeSh00,TEN,0,0,0,0,0,0,0,0,,4,18,0,5,0,0,0,0,0,0,0
Nate Washington\WashNa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,46,0,14,0,0
Delanie Walker\WalkHu00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,40,0,25,1,0
Kenny Britt\BritKe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
Damian Williams\WillDa04,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Kendall Wright\WrigKe01,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,11,0,7,0,0
Craig Stevens\StevCr00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ben Roethlisberger\RoetBe00,PIT,21,33,191,1,1,5,28,22,76.7,1,0,0,0,0,0,0,0,0,1,1
LaRod Stephens-Howling\StepLa00,PIT,0,0,0,0,0,0,0,0,,6,19,0,5,3,2,11,0,7,0,0
Isaac Redman\RedmIs20,PIT,0,0,0,0,0,0,0,0,,7,8,0,8,3,2,7,0,7,1,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,1,4,0,4,7,5,71,0,22,0,0
Emmanuel Sanders\SandEm00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,57,0,20,0,0
Jerricho Cotchery\CotcJe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,34,1,11,0,0
David Johnson\JohnDa05,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
