Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matthew Stafford\StafMa00,DET,18,35,219,3,1,0,0,25,87.7,2,-1,0,0,0,0,0,0,0,1,0
Reggie Bush\BushRe00,DET,0,0,0,0,0,0,0,0,,14,105,0,39,6,3,8,0,4,0,0
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,10,41,0,9,1,0,0,0,0,0,0
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,17,6,83,2,19,0,0
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,70,0,23,0,0
Jeremy Ross\RossJe01,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,28,0,17,0,0
Joseph Fauria\FaurJo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,25,0,25,0,0
Kris Durham\DurhKr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,5,0,0
Jay Cutler\CutlJa00,CHI,21,40,250,1,1,1,9,44,69.8,0,0,0,0,0,0,0,0,0,0,0
Josh McCown\McCoJo01,CHI,6,9,62,1,0,1,3,14,123.4,0,0,0,0,0,0,0,0,0,0,0
Matt Forte\FortMa00,CHI,0,0,0,0,0,0,0,0,,17,33,0,7,7,4,16,0,7,0,0
Alshon Jeffery\JeffAl00,CHI,0,0,0,0,0,0,0,0,,2,5,0,5,18,9,114,0,18,0,0
Brandon Marshall\MarsBr00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,12,7,139,2,44,0,0
Martellus Bennett\BennMa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,29,0,13,0,0
Earl Bennett\BennEa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,8,0,0
Tony Fiammetta\FiamTo00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Dante Rosario\RosaDa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Michael Bush\BushMi00,CHI,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
