Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jason Campbell\CampJa00,CLE,27,56,248,1,3,4,20,74,44.3,0,0,0,0,0,0,0,0,0,1,0
Chris Ogbonnaya\OgboCh00,CLE,0,0,0,0,0,0,0,0,,8,69,0,43,12,6,30,0,12,1,1
Fozzy Whittaker\WhitFo00,CLE,0,0,0,0,0,0,0,0,,4,20,0,7,5,5,41,0,11,0,0
Willis McGahee\McGaWi00,CLE,0,0,0,0,0,0,0,0,,6,13,0,6,2,2,4,0,3,0,0
Josh Gordon\GordJo02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,15,5,125,1,74,0,0
Jordan Cameron\CameJo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,29,0,8,0,0
Gary Barnidge\BarnGa01,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Greg Little\LittGr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,4,0,4,0,0
Davone Bess\BessDa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,3,0,3,0,0
Armanti Edwards\EdwaAr00,CLE,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Brian Tyms\TymsBr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Andy Dalton\DaltAn00,CIN,13,27,93,3,2,0,0,25,62.7,4,0,0,1,0,0,0,0,0,0,0
Mohamed Sanu\SanuMo00,CIN,1,1,25,0,0,0,0,25,118.7,0,0,0,0,5,2,11,1,6,0,0
BenJarvus Green-Ellis\GreeBe00,CIN,0,0,0,0,0,0,0,0,,16,62,0,18,0,0,0,0,0,0,0
Giovani Bernard\BernGi00,CIN,0,0,0,0,0,0,0,0,,10,45,0,13,5,4,41,0,25,0,0
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,27,1,25,0,0
Tyler Eifert\EifeTy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,7,0,4,0,0
Andrew Hawkins\HawkAn00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Alex Smith\SmitAl02,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0
Marvin Jones\JoneMa02,CIN,0,0,0,0,0,0,0,0,,1,-1,0,-1,2,1,9,0,9,0,0
