Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Scott Tolzien\TolzSc00,GNB,24,34,339,0,3,0,0,52,65.7,2,11,0,7,0,0,0,0,0,0,0
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,14,27,1,5,2,2,21,0,16,0,0
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,0,0,0,,1,12,0,12,3,3,11,0,6,0,0
M.D. Jennings\JennM.00,GNB,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,117,0,29,0,0
Jarrett Boykin\BoykJa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,91,0,52,0,0
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,55,0,45,0,0
Brandon Bostick\BostBr00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,0,26,0,0
Andrew Quarless\QuarAn00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,19,0,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,2,-1,0,0,0,0,0,0,0,0,0
Eli Manning\MannEl00,NYG,25,35,279,1,1,4,23,35,92.4,1,3,0,3,0,0,0,0,0,0,0
Andre Brown\BrowAn03,NYG,0,0,0,0,0,0,0,0,,18,66,0,12,5,3,27,0,12,0,0
Brandon Jacobs\JacoBr00,NYG,0,0,0,0,0,0,0,0,,5,9,1,5,0,0,0,0,0,0,0
Victor Cruz\CruzVi00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,110,0,30,0,0
Hakeem Nicks\NickHa01,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,50,0,35,0,0
Rueben Randle\RandRu00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,37,1,26,0,0
Brandon Myers\MyerBr00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,15,0,0
Jerrel Jernigan\JernJe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,13,0,0
John Conner\ConnJo00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,2,0,2,0,0
Louis Murphy\MurpLo00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Bear Pascoe\PascBe00,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
