Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Alex Smith\SmitAl03,KAN,21,45,230,2,0,3,30,26,77.1,5,52,0,25,0,0,0,0,0,1,0
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,16,78,0,35,8,2,-6,0,-1,0,0
Knile Davis\DaviKn00,KAN,0,0,0,0,0,0,0,0,,3,13,0,7,1,1,11,0,11,0,0
Anthony Sherman\SherAn00,KAN,0,0,0,0,0,0,0,0,,1,1,0,1,3,2,18,0,16,1,1
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,14,4,57,1,26,0,0
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,53,0,18,0,0
Sean McGrath\McGrSe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,40,0,21,0,0
Anthony Fasano\FasaAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,37,1,12,0,0
Donnie Avery\AverDo00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,20,0,20,0,0
Peyton Manning\MannPe00,DEN,24,40,323,1,0,0,0,70,94.1,1,0,0,0,0,0,0,0,0,1,1
Knowshon Moreno\MoreKn00,DEN,0,0,0,0,0,0,0,0,,27,79,0,11,1,0,0,0,0,0,0
Montee Ball\BallMo00,DEN,0,0,0,0,0,0,0,0,,8,25,2,8,4,3,16,0,11,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,13,5,121,0,70,0,0
Wes Welker\WelkWe00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,72,0,20,0,0
Eric Decker\DeckEr00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,71,0,33,0,0
Julius Thomas\ThomJu00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,43,1,20,0,0
Andre Caldwell\CaldAn00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
