Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,19,38,174,1,1,3,15,29,60.6,7,51,1,14,0,0,0,0,0,0,0
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,10,31,0,9,3,2,16,0,13,0,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,7,31,0,12,1,1,3,0,3,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,4,23,0,15,1,1,5,0,5,0,0
Steve Smith\SmitSt01,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,69,0,19,0,0
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,36,0,29,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,34,1,12,0,0
Ted Ginn\GinnTe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,3,11,0,8,0,0
Ryan Tannehill\TannRy00,MIA,28,42,310,1,1,3,30,57,86.4,4,36,0,19,0,0,0,0,0,0,0
Lamar Miller\MillLa01,MIA,0,0,0,0,0,0,0,0,,10,8,0,4,4,4,39,0,18,0,0
Daniel Thomas\ThomDa03,MIA,0,0,0,0,0,0,0,0,,3,8,0,4,2,2,2,0,2,0,0
Mike Wallace\WallMi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,127,1,57,0,0
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,78,0,26,0,0
Charles Clay\ClayCh00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,27,0,11,0,0
Marlon Moore\MoorMa02,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,20,0,11,0,0
Dion Sims\SimsDi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Michael Egnew\EgneMi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Marcus Thigpen\ThigMa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Rishard Matthews\MattRi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,2,0,4,0,0
