Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andrew Luck\LuckAn00,IND,20,39,163,1,1,1,4,17,60.1,2,31,0,28,0,0,0,0,0,0,0
Dan Herron\HerrDa00,IND,0,0,0,0,0,0,0,0,,4,33,0,22,0,0,0,0,0,0,0
Trent Richardson\RichTr00,IND,0,0,0,0,0,0,0,0,,7,15,0,8,2,2,11,0,8,0,0
Donald Brown\BrowDo00,IND,0,0,0,0,0,0,0,0,,2,1,0,1,2,1,-2,0,-2,0,0
Coby Fleener\FleeCo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,55,1,17,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,38,0,12,0,0
LaVon Brazill\BrazLa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,35,0,14,0,0
Darrius Heyward-Bey\HeywDa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,22,0,10,0,0
Justice Cunningham\CunnJu00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Samson Satele\SateSa20,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
David Reed\ReedDa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Weslye Saunders\SaunWe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Carson Palmer\PalmCa00,ARI,26,37,314,2,0,3,24,32,114.0,0,0,0,0,0,0,0,0,0,1,0
Larry Fitzgerald\FitzLa00,ARI,0,1,0,0,0,0,0,0,39.6,1,4,0,4,11,5,52,2,26,0,0
Rashard Mendenhall\MendRa00,ARI,0,0,0,0,0,0,0,0,,13,54,1,15,2,1,24,0,24,0,0
Andre Ellington\ElliAn00,ARI,0,0,0,0,0,0,0,0,,10,50,0,17,2,2,21,0,13,0,0
Stepfan Taylor\TaylSt00,ARI,0,0,0,0,0,0,0,0,,5,10,0,3,1,1,1,0,1,0,0
Patrick Peterson\PetePa00,ARI,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,-4,0,-4,0,0
Michael Floyd\FloyMi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,104,0,29,0,0
Rob Housler\HousRo01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,51,0,20,0,0
Andre Roberts\RobeAn00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,43,0,32,0,0
Jaron Brown\BrowJa03,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
Alfonso Smith\SmitAl22,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Jim Dray\DrayJi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
