Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Mike Glennon\GlenMi00,TAM,14,21,247,2,0,4,40,85,138.4,4,-17,0,-1,0,0,0,0,0,0,0
Bobby Rainey\RainBo00,TAM,0,0,0,0,0,0,0,0,,18,35,0,11,1,0,0,0,0,0,0
Brian Leonard\LeonBr00,TAM,0,0,0,0,0,0,0,0,,1,3,0,3,2,1,3,0,3,0,0
Skye Dawson\DawsSk00,TAM,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Tiquan Underwood\UndeTi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,108,2,85,0,0
Tim Wright\WrigTi01,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,75,0,16,0,0
Vincent Jackson\JackVi00,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,61,0,47,0,0
Matthew Stafford\StafMa00,DET,26,46,297,3,4,2,11,28,61.6,2,6,0,4,0,0,0,0,0,0,0
Reggie Bush\BushRe00,DET,0,0,0,0,0,0,0,0,,15,83,0,39,7,4,17,0,9,0,0
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,6,15,0,6,3,1,0,0,0,0,0
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,115,0,21,0,0
Nate Burleson\BurlNa00,DET,0,0,0,0,0,0,0,0,,1,0,0,0,10,7,77,1,28,1,0
Kris Durham\DurhKr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,46,0,19,1,1
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,1,18,0,0
Joseph Fauria\FaurJo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,1,10,0,0
