Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Cam Newton\NewtCa00,CAR,22,34,160,1,0,5,49,17,85.4,6,48,0,19,0,0,0,0,0,0,0
DeAngelo Williams\WillDe02,CAR,0,0,0,0,0,0,0,0,,13,52,0,9,2,1,11,0,11,0,0
Jonathan Stewart\StewJo00,CAR,0,0,0,0,0,0,0,0,,1,16,0,16,1,1,16,0,16,0,0
Mike Tolbert\TolbMi00,CAR,0,0,0,0,0,0,0,0,,3,12,0,7,2,2,17,0,11,0,0
Steve Smith\SmitSt01,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,49,1,17,0,0
Greg Olsen\OlseGr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,40,0,13,0,0
Brandon LaFell\LaFeBr00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,11,0,0
Ted Ginn\GinnTe00,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,5,0,3,0,0
Drew Brees\BreeDr00,NOR,30,42,313,4,0,2,9,22,124.4,3,3,0,4,0,0,0,0,0,1,0
Darren Sproles\SproDa00,NOR,0,0,0,0,0,0,0,0,,1,38,0,38,3,3,23,0,20,0,0
Pierre Thomas\ThomPi00,NOR,0,0,0,0,0,0,0,0,,7,14,0,5,4,4,14,0,9,0,0
Khiry Robinson\RobiKh00,NOR,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0
Robert Meachem\MeacRo00,NOR,0,0,0,0,0,0,0,0,,1,4,0,4,3,1,7,0,7,0,0
Mark Ingram\IngrMa01,NOR,0,0,0,0,0,0,0,0,,3,4,0,3,0,0,0,0,0,0,0
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,125,2,21,0,0
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,58,2,22,0,0
Lance Moore\MoorLa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,40,0,21,0,0
Kenny Stills\StilKe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,14,0,0
Ben Watson\WatsBe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Jed Collins\CollJe01,NOR,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,4,0,4,0,0
