Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Case Keenum\KeenCa00,HOU,18,34,168,0,2,4,36,39,42.3,1,2,0,2,0,0,0,0,0,1,0
Ben Tate\TateBe00,HOU,0,0,0,0,0,0,0,0,,16,72,0,11,6,3,20,0,9,2,0
Deji Karim\KariDe00,HOU,0,0,0,0,0,0,0,0,,4,21,0,9,1,0,0,0,0,0,0
Dennis Johnson\JohnDe02,HOU,0,0,0,0,0,0,0,0,,4,12,0,9,2,1,3,0,3,0,0
Ryan Griffin\GrifRy00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,62,0,22,0,0
DeAndre Hopkins\HopkDe00,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,52,0,39,0,0
Andre Johnson\JohnAn02,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,18,0,9,0,0
Keshawn Martin\MartKe01,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,13,0,13,0,0
Lestar Jean\JeanLe01,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Andrew Luck\LuckAn00,IND,19,32,180,2,1,1,1,41,82.8,5,29,0,11,0,0,0,0,0,0,0
Trent Richardson\RichTr00,IND,0,0,0,0,0,0,0,0,,19,64,0,22,6,4,38,1,18,1,0
Donald Brown\BrowDo00,IND,0,0,0,0,0,0,0,0,,5,38,0,26,0,0,0,0,0,0,0
Tashard Choice\ChoiTa00,IND,0,0,0,0,0,0,0,0,,5,18,0,6,0,0,0,0,0,0,0
Corey Lynch\LyncCo99,IND,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,78,0,41,0,0
Griff Whalen\WhalGr00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,45,1,18,0,0
Da'Rick Rogers\RogeDa01,IND,0,0,0,0,0,0,0,0,,1,0,0,0,6,2,23,0,12,0,0
Coby Fleener\FleeCo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jack Doyle\DoylJa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-4,0,-4,0,0
