Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Carson Palmer\PalmCa00,ARI,13,25,178,1,4,2,10,63,48.8,5,-3,0,1,0,0,0,0,0,0,0
Andre Ellington\ElliAn00,ARI,0,0,0,0,0,0,0,0,,15,64,0,26,3,2,8,0,4,0,0
Rashard Mendenhall\MendRa00,ARI,0,0,0,0,0,0,0,0,,21,63,0,9,0,0,0,0,0,0,0
Stepfan Taylor\TaylSt00,ARI,0,0,0,0,0,0,0,0,,2,15,0,11,0,0,0,0,0,0,0
Brittan Golden\GoldBr00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,63,0,63,0,0
Michael Floyd\FloyMi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,31,1,31,0,0
Andre Roberts\RobeAn00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,17,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,18,0,8,0,0
Jake Ballard\BallJa21,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,17,0,17,0,0
Jim Dray\DrayJi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,16,0,8,0,0
Rob Housler\HousRo01,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Russell Wilson\WilsRu00,SEA,11,27,108,1,1,4,19,28,49.6,2,32,0,27,0,0,0,0,0,0,0
Marshawn Lynch\LyncMa00,SEA,0,0,0,0,0,0,0,0,,18,71,0,19,2,2,5,0,3,0,0
Jermaine Kearse\KearJe01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,38,0,18,0,0
Golden Tate\TateGo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,34,0,28,1,0
Zach Miller\MillZa01,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,1,11,0,0
Ricardo Lockette\LockRi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Doug Baldwin\BaldDo00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,8,0,8,0,0
Luke Willson\WillLu00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Michael Robinson\RobiMi00,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
