Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Andrew Luck\LuckAn00,IND,26,37,241,1,0,1,9,33,96.8,6,5,0,4,0,0,0,0,0,0,0
Donald Brown\BrowDo00,IND,0,0,0,0,0,0,0,0,,10,79,1,51,3,2,31,1,33,0,0
Trent Richardson\RichTr00,IND,0,0,0,0,0,0,0,0,,16,43,0,6,5,3,15,0,9,0,0
Tashard Choice\ChoiTa00,IND,0,0,0,0,0,0,0,0,,1,8,0,8,0,0,0,0,0,0,0
Griff Whalen\WhalGr00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,80,0,21,0,0
T.Y. Hilton\HiltT.00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,52,0,31,0,0
Da'Rick Rogers\RogeDa01,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,42,0,17,0,0
Coby Fleener\FleeCo00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,8,0,6,1,0
Weslye Saunders\SaunWe00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Jack Doyle\DoylJa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Stanley Havili\HaviSt00,IND,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,1,0,1,0,0
LaVon Brazill\BrazLa00,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Alex Smith\SmitAl03,KAN,16,28,153,0,1,5,21,19,57.6,6,47,0,22,0,0,0,0,0,3,2
Jamaal Charles\CharJa00,KAN,0,0,0,0,0,0,0,0,,13,106,1,31,6,5,38,0,15,0,0
Knile Davis\DaviKn00,KAN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,2,1
Dwayne Bowe\BoweDw00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,46,0,16,0,0
Donnie Avery\AverDo00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,15,0,0
Anthony Fasano\FasaAn00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,19,0,19,0,0
Dexter McCluster\McClDe00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,1,0
Cyrus Gray\GrayCy00,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
