Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,14,26,172,1,0,2,14,34,87.3,0,0,0,0,0,0,0,0,0,0,0
LeGarrette Blount\BlouLe00,NWE,0,0,0,0,0,0,0,0,,16,76,2,14,0,0,0,0,0,0,0
Stevan Ridley\RidlSt00,NWE,0,0,0,0,0,0,0,0,,15,54,0,8,1,0,0,0,0,0,0
Brandon Bolden\BoldBr00,NWE,0,0,0,0,0,0,0,0,,1,6,0,6,4,2,16,0,12,0,0
Shane Vereen\VereSh00,NWE,0,0,0,0,0,0,0,0,,2,6,0,4,2,1,4,1,4,0,0
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,77,0,19,0,0
Danny Amendola\AmenDa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,45,0,34,0,0
Aaron Dobson\DobsAa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,21,0,21,0,0
Michael Hoomanawanui\HoomMi00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Joe Flacco\FlacJo00,BAL,22,38,260,0,2,4,25,42,56.9,2,0,1,1,0,0,0,0,0,0,0
Tyrod Taylor\TaylTy00,BAL,1,4,2,0,1,0,0,2,0.0,3,39,0,25,0,0,0,0,0,0,0
Ray Rice\RiceRa00,BAL,0,0,0,0,0,0,0,0,,11,40,0,8,3,2,23,0,13,0,0
Bernard Pierce\PierBe00,BAL,0,0,0,0,0,0,0,0,,10,31,0,6,5,3,27,0,15,0,0
Bernard Scott\ScotBe00,BAL,0,0,0,0,0,0,0,0,,2,11,0,9,1,1,2,0,2,0,0
Torrey Smith\SmitTo02,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,69,0,42,0,0
Marlon Brown\BrowMa00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,51,0,21,0,0
Ed Dickson\DickEd00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,44,0,17,0,0
Dennis Pitta\PittDe00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,34,0,15,0,0
Jacoby Jones\JoneJa03,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,11,0,11,0,0
Vonta Leach\LeacVo00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Tandon Doss\DossTa00,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
