Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matt McGloin\McGlMa01,OAK,20,36,206,0,1,1,0,37,60.6,1,5,0,5,0,0,0,0,0,1,0
Rashad Jennings\JennRa00,OAK,0,0,0,0,0,,0,0,,10,45,0,9,4,3,27,0,16,0,0
Darren McFadden\McFaDa00,OAK,0,0,0,0,0,,0,0,,4,8,1,5,3,1,8,0,8,0,0
Taiwan Jones\JoneTa00,OAK,0,0,0,0,0,,0,0,,2,1,0,1,0,0,0,0,0,0,0
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,8,5,71,0,24,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,2,43,0,37,0,0
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,6,4,26,0,14,0,0
Denarius Moore\MoorDe02,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,3,17,0,11,0,0
Jeron Mastrud\MastJe20,OAK,0,0,0,0,0,,0,0,,0,0,0,0,3,1,12,0,12,0,0
Rod Streater\StreRo00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,5,1,2,0,2,0,0
Jamize Olawale\OlawJa00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Greg Jenkins\JenkGr00,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,1
Philip Rivers\RivePh00,SDG,19,29,201,1,1,1,5,24,82.7,4,-3,0,0,0,0,0,0,0,1,1
Ryan Mathews\MathRy00,SDG,0,0,0,0,0,0,0,0,,25,99,1,34,5,3,20,0,9,0,0
Danny Woodhead\WoodDa02,SDG,0,0,0,0,0,0,0,0,,8,52,0,13,3,3,16,0,9,0,0
Eddie Royal\RoyaEd00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,54,0,22,0,0
Antonio Gates\GateAn00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,42,0,16,0,0
Vincent Brown\BrowVi00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,38,0,24,0,0
Keenan Allen\AlleKe00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,26,1,18,1,1
John Phillips\PhilJo00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Ladarius Green\GreeLa00,SDG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
