Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Peyton Manning\MannPe00,DEN,25,28,266,4,0,1,9,63,145.8,0,0,0,0,0,0,0,0,0,0,0
Brock Osweiler\OsweBr00,DEN,9,13,85,0,0,2,8,19,87.0,1,-1,0,-1,0,0,0,0,0,0,0
Montee Ball\BallMo00,DEN,0,0,0,0,0,0,0,0,,10,72,0,21,3,3,22,0,10,0,0
Ronnie Hillman\HillRo00,DEN,0,0,0,0,0,0,0,0,,12,30,0,8,1,0,0,0,0,0,0
Knowshon Moreno\MoreKn00,DEN,0,0,0,0,0,0,0,0,,6,23,0,10,6,5,41,1,12,0,0
Demaryius Thomas\ThomDe03,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,113,2,63,0,0
Andre Caldwell\CaldAn00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,42,0,19,0,0
Julius Thomas\ThomJu00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,36,0,10,0,0
Jacob Tamme\TammJa00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,29,0,11,0,0
Eric Decker\DeckEr00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,27,1,12,0,0
Joel Dreessen\DreeJo00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,26,0,14,0,0
Virgil Green\GreeVi00,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,10,0,0
Terrelle Pryor\PryoTe00,OAK,21,38,207,2,0,2,16,24,88.4,9,49,0,11,0,0,0,0,0,2,1
Rashad Jennings\JennRa00,OAK,0,0,0,0,0,,0,0,,4,9,0,3,3,2,8,0,9,0,0
Darren McFadden\McFaDa00,OAK,0,0,0,0,0,,0,0,,7,6,0,5,4,3,15,0,8,0,0
Denarius Moore\MoorDe02,OAK,0,0,0,0,0,,0,0,,0,0,0,0,7,4,63,0,24,0,0
Rod Streater\StreRo00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,9,5,40,1,14,0,0
Andre Holmes\HolmAn00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,8,3,38,0,22,0,0
Mychal Rivera\RiveMy00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,4,2,23,0,17,0,0
Marcel Reece\ReecMa00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,1,1,11,0,11,0,0
Nick Kasa\KasaNi00,OAK,0,0,0,0,0,,0,0,,0,0,0,0,2,1,9,1,9,0,0
