Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Aaron Rodgers\RodgAa00,GNB,25,39,318,2,2,3,5,48,85.2,1,5,0,5,0,0,0,0,0,1,0
James Starks\StarJa00,GNB,0,0,0,0,0,0,0,0,,11,88,0,41,2,1,7,0,7,0,0
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,21,66,1,17,2,2,15,0,8,0,0
John Kuhn\KuhnJo00,GNB,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,16,10,161,0,34,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,55,2,48,0,0
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,41,0,12,0,0
Andrew Quarless\QuarAn00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,31,0,22,0,0
Jarrett Boykin\BoykJa00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,8,0,5,0,0
Jay Cutler\CutlJa00,CHI,15,24,226,2,1,1,2,67,103.8,0,0,0,0,0,0,0,0,0,0,0
Matt Forte\FortMa00,CHI,0,0,0,0,0,0,0,0,,22,110,2,20,4,4,47,1,33,0,0
Michael Bush\BushMi00,CHI,0,0,0,0,0,0,0,0,,2,11,0,6,0,0,0,0,0,0,0
Alshon Jeffery\JeffAl00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,80,0,67,1,1
Brandon Marshall\MarsBr00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,74,1,37,0,0
Martellus Bennett\BennMa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Marquess Wilson\WilsMa02,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
