Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matthew Stafford\StafMa00,DET,24,36,278,2,0,1,5,72,108.3,2,1,0,1,0,0,0,0,0,1,1
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,8,31,0,20,8,5,41,0,10,0,0
Reggie Bush\BushRe00,DET,0,0,0,0,0,0,0,0,,9,25,0,8,3,3,44,0,26,0,0
Calvin Johnson\JohnCa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,116,2,72,0,0
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,32,0,17,0,0
Theo Riddick\RiddTh00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kris Durham\DurhKr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Nate Burleson\BurlNa00,DET,0,0,0,0,0,0,0,0,,1,-8,0,-8,8,7,45,0,12,0,0
Carson Palmer\PalmCa00,ARI,22,39,248,1,1,1,4,36,73.5,2,-2,0,-1,0,0,0,0,0,0,0
Patrick Peterson\PetePa00,ARI,1,1,17,0,0,0,0,17,118.7,0,0,0,0,1,1,17,0,17,0,0
Rashard Mendenhall\MendRa00,ARI,0,0,0,0,0,0,0,0,,15,66,1,11,2,2,28,0,20,0,0
Andre Ellington\ElliAn00,ARI,0,0,0,0,0,0,0,0,,4,20,0,16,2,2,42,1,36,0,0
Stepfan Taylor\TaylSt00,ARI,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Alfonso Smith\SmitAl22,ARI,0,0,0,0,0,0,0,0,,3,1,0,2,1,1,5,0,5,0,0
Kerry Taylor\TaylKe00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,40,0,17,0,0
Andre Roberts\RobeAn00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,36,0,19,0,0
Larry Fitzgerald\FitzLa00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,33,0,22,0,0
Jim Dray\DrayJi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,31,0,14,0,0
Michael Floyd\FloyMi00,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,22,0,11,0,0
Jaron Brown\BrowJa03,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
