Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Geno Smith\SmitGe00,NYJ,15,35,214,0,3,4,25,37,27.6,3,17,0,16,0,0,0,0,0,0,0
Chris Ivory\IvorCh00,NYJ,0,0,0,0,0,0,0,0,,12,52,0,11,0,0,0,0,0,1,0
Bilal Powell\PoweBi00,NYJ,0,0,0,0,0,0,0,0,,13,48,1,12,5,2,22,0,11,0,0
Tommy Bohanon\BohaTo00,NYJ,0,0,0,0,0,0,0,0,,4,12,0,6,1,1,-3,0,-3,0,0
Stephen Hill\HillSt00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,86,0,37,1,1
Santonio Holmes\HolmSa00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,51,0,27,0,0
Clyde Gates\GateCl00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,42,0,34,0,0
Kellen Winslow\WinsKe01,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,16,0,9,0,0
Ryan Spadola\SpadRy00,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tom Brady\BradTo00,NWE,19,39,185,1,0,1,7,39,71.0,2,-2,0,0,0,0,0,0,0,0,0
Stevan Ridley\RidlSt00,NWE,0,0,0,0,0,0,0,0,,16,40,0,9,0,0,0,0,0,0,0
LeGarrette Blount\BlouLe00,NWE,0,0,0,0,0,0,0,0,,4,11,0,7,1,0,0,0,0,0,0
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,1,4,0,4,18,13,78,0,10,1,0
Leon Washington\WashLe00,NWE,0,0,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,0
Aaron Dobson\DobsAa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,10,3,56,1,39,0,0
Kenbrell Thompkins\ThomKe02,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,47,0,38,0,0
James Develin\DeveJa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Michael Hoomanawanui\HoomMi00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
