Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ben Roethlisberger\RoetBe00,PIT,20,37,251,1,1,2,17,43,73.1,1,6,0,6,0,0,0,0,0,0,0
Felix Jones\JoneFe00,PIT,0,0,0,0,0,0,0,0,,10,37,0,14,0,0,0,0,0,0,0
Isaac Redman\RedmIs20,PIT,0,0,0,0,0,0,0,0,,3,4,0,2,2,2,7,0,6,0,0
Jonathan Dwyer\DwyeJo00,PIT,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Emmanuel Sanders\SandEm00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,78,0,43,0,0
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,57,0,18,0,0
David Paulson\PaulDa01,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,49,0,34,1,1
Derek Moye\MoyeDe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
David Johnson\JohnDa05,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jerricho Cotchery\CotcJe00,PIT,0,0,0,0,0,0,0,0,,1,-5,0,-5,9,3,59,0,31,0,0
Andy Dalton\DaltAn00,CIN,25,45,280,1,0,0,0,61,81.7,3,10,0,4,0,0,0,0,0,0,0
BenJarvus Green-Ellis\GreeBe00,CIN,0,0,0,0,0,0,0,0,,22,75,0,14,1,1,5,0,5,0,0
Giovani Bernard\BernGi00,CIN,0,0,0,0,0,0,0,0,,8,38,1,8,2,1,27,1,27,0,0
Mohamed Sanu\SanuMo00,CIN,0,0,0,0,0,0,0,0,,1,4,0,4,8,5,40,0,14,0,0
Jermaine Gresham\GresJe00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,66,0,26,0,0
Tyler Eifert\EifeTy00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,66,0,61,0,0
A.J. Green\GreeA.00,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,14,6,41,0,10,0,0
Marvin Jones\JoneMa02,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,35,0,16,0,0
Alex Smith\SmitAl02,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
