Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Jay Cutler\CutlJa00,CHI,20,30,159,1,0,2,8,41,90.8,4,11,0,13,0,0,0,0,0,0,0
Matt Forte\FortMa00,CHI,0,0,0,0,0,0,0,0,,16,87,1,55,4,4,24,0,11,0,0
Michael Bush\BushMi00,CHI,0,0,0,0,0,0,0,0,,8,9,1,3,1,0,0,0,0,0,0
Brandon Marshall\MarsBr00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,52,0,41,0,0
Alshon Jeffery\JeffAl00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,51,0,9,1,0
Earl Bennett\BennEa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,22,1,17,0,0
Martellus Bennett\BennMa00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,10,0,7,0,0
Steve Maneri\ManeSt00,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Ben Roethlisberger\RoetBe00,PIT,26,41,406,2,2,3,27,45,92.1,2,7,0,5,0,0,0,0,0,3,2
Jonathan Dwyer\DwyeJo00,PIT,0,0,0,0,0,0,0,0,,12,39,0,25,3,1,9,0,9,0,0
Felix Jones\JoneFe00,PIT,0,0,0,0,0,0,0,0,,7,34,0,11,2,2,13,0,7,1,1
Antonio Brown\BrowAn04,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,196,2,45,0,0
Jerricho Cotchery\CotcJe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,52,0,26,0,0
David Johnson\JohnDa05,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,51,0,32,0,0
Emmanuel Sanders\SandEm00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,39,0,22,0,0
Heath Miller\MillHe00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,35,0,22,0,0
David Paulson\PaulDa01,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Will Johnson\JohnWi00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Markus Wheaton\WheaMa00,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
