Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,MIA,22,35,249,1,3,4,33,50,57.9,4,48,0,26,0,0,0,0,0,1,1
Lamar Miller\MillLa01,MIA,0,0,0,0,0,0,0,0,,11,62,1,20,3,1,6,0,6,0,0
Daniel Thomas\ThomDa03,MIA,0,0,0,0,0,0,0,0,,4,5,0,4,1,1,1,0,1,0,0
Brandon Gibson\GibsBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,71,0,28,0,0
Marcus Thigpen\ThigMa00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,50,0,50,0,0
Charles Clay\ClayCh00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,42,1,14,0,0
Brian Hartline\HartBr00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,13,0,0
Mike Wallace\WallMi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,24,0,10,0,0
Rishard Matthews\MattRi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,21,0,21,0,0
Dion Sims\SimsDi00,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Drew Brees\BreeDr00,NOR,30,39,413,4,0,2,16,48,144.5,4,2,0,5,0,0,0,0,0,0,0
Khiry Robinson\RobiKh00,NOR,0,0,0,0,0,0,0,0,,12,37,0,11,0,0,0,0,0,0,0
Darren Sproles\SproDa00,NOR,0,0,0,0,0,0,0,0,,4,28,1,18,8,7,114,1,48,1,1
Pierre Thomas\ThomPi00,NOR,0,0,0,0,0,0,0,0,,4,1,0,3,6,5,37,0,21,0,0
Jimmy Graham\GrahJi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,100,2,43,0,0
Marques Colston\ColsMa00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,96,0,21,0,0
Kenny Stills\StilKe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,38,0,18,0,0
Nick Toon\ToonNi00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,18,0,18,0,0
Jed Collins\CollJe01,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Ben Watson\WatsBe00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,1,4,0,0
Robert Meachem\MeacRo00,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
