Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Tom Brady\BradTo00,NWE,20,31,316,2,0,0,0,49,119.8,5,-2,0,1,0,0,0,0,0,1,0
LeGarrette Blount\BlouLe00,NWE,0,0,0,0,0,0,0,0,,9,64,1,47,0,0,0,0,0,0,0
Stevan Ridley\RidlSt00,NWE,0,0,0,0,0,0,0,0,,11,53,0,14,2,2,26,0,24,0,0
Brandon Bolden\BoldBr00,NWE,0,0,0,0,0,0,0,0,,6,17,0,8,1,1,-5,0,-5,0,0
Kenbrell Thompkins\ThomKe02,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,11,6,127,1,49,0,0
Julian Edelman\EdelJu00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,118,0,44,0,0
Josh Boyce\BoycJo00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,24,0,24,0,0
James Develin\DeveJa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Aaron Dobson\DobsAa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,10,0,10,0,0
Matthew Mulligan\MullMa00,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
Matt Ryan\RyanMa00,ATL,34,54,421,2,1,2,22,49,91.7,0,0,0,0,0,0,0,0,0,0,0
Jacquizz Rodgers\RodgJa00,ATL,0,0,0,0,0,0,0,0,,7,32,0,6,6,6,56,0,17,0,0
Jason Snelling\SnelJa00,ATL,0,0,0,0,0,0,0,0,,8,26,0,9,3,1,8,0,8,0,0
Tony Gonzalez\GonzTo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,14,12,149,2,25,0,0
Julio Jones\JoneJu02,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,108,0,49,1,0
Harry Douglas\DougHa00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,68,0,40,0,0
Roddy White\WhitRo00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,28,0,14,0,0
Levine Toilolo\ToilLe00,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
