Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
EJ Manuel\ManuEJ00,BUF,11,20,129,0,0,2,10,24,74.8,1,14,0,14,0,0,0,0,0,0,0
Jeff Tuel\TuelJe00,BUF,8,20,80,0,1,2,11,13,31.2,0,0,0,0,0,0,0,0,0,0,0
C.J. Spiller\SpilC.00,BUF,0,0,0,0,0,0,0,0,,8,66,1,54,0,0,0,0,0,0,0
Fred Jackson\JackFr02,BUF,0,0,0,0,0,0,0,0,,17,53,2,11,6,4,40,0,13,0,0
Tashard Choice\ChoiTa00,BUF,0,0,0,0,0,0,0,0,,5,22,0,6,0,0,0,0,0,0,0
Robert Woods\WoodRo02,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,13,5,64,0,24,0,0
Scott Chandler\ChanSc00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,49,0,20,0,0
T.J. Graham\GrahT.00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,21,0,12,0,0
Steve Johnson\JohnSt00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,19,0,13,0,0
Chris Hogan\HogaCh00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,16,0,9,0,0
Lee Smith\SmitLe00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Marcus Easley\EaslMa00,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Brandon Weeden\WeedBr00,CLE,13,24,197,1,0,5,23,47,95.3,3,0,0,2,0,0,0,0,0,1,0
Brian Hoyer\HoyeBr00,CLE,2,4,25,0,0,0,0,13,69.8,1,11,0,11,0,0,0,0,0,0,0
Willis McGahee\McGaWi00,CLE,0,0,0,0,0,0,0,0,,26,72,1,16,2,0,0,0,0,0,0
Bobby Rainey\RainBo00,CLE,0,0,0,0,0,0,0,0,,2,8,0,7,1,1,-5,0,-5,0,0
Josh Gordon\GordJo02,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,86,1,37,0,0
Greg Little\LittGr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,71,0,47,0,0
Jordan Cameron\CameJo00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,36,0,19,1,0
Davone Bess\BessDa00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,25,0,13,0,0
Chris Ogbonnaya\OgboCh00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Gary Barnidge\BarnGa01,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Travis Benjamin\BenjTr00,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
