Player,Tm,Cmp,Att,Yds,TD,Int,Sk,LYds,Lng,Rate,RAtt,RYds,RTD,Lng,Tgt,Rec,WYds,WTD,Lng,Fmb,FL
Matthew Stafford\StafMa00,DET,25,40,262,1,0,5,40,25,89.8,1,-1,0,-1,0,0,0,0,0,1,0
Reggie Bush\BushRe00,DET,0,0,0,0,0,0,0,0,,13,44,0,20,6,4,25,0,10,0,0
Joique Bell\BellJo01,DET,0,0,0,0,0,0,0,0,,5,21,0,9,4,4,30,0,16,0,0
Brandon Pettigrew\PettBr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,59,0,25,0,0
Tony Scheffler\ScheTo00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,55,0,19,0,0
Kris Durham\DurhKr00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,30,1,13,0,0
Ryan Broyles\BroyRy00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,22,0,0
Kevin Ogletree\OgleKe00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,20,0,11,0,0
Patrick Edwards\EdwaPa00,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,16,0,8,0,0
Aaron Rodgers\RodgAa00,GNB,20,30,274,1,0,1,5,83,106.8,5,8,0,6,0,0,0,0,0,1,0
Eddie Lacy\LacyEd00,GNB,0,0,0,0,0,0,0,0,,23,99,0,13,1,1,-2,0,-2,0,0
Randall Cobb\CobbRa00,GNB,0,0,0,0,0,0,0,0,,2,72,0,67,8,4,35,0,22,0,0
Johnathan Franklin\FranJo01,GNB,0,0,0,0,0,0,0,0,,3,1,0,3,0,0,0,0,0,1,0
James Jones\JoneJa04,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,127,1,83,0,0
Jordy Nelson\NelsJo00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,82,0,31,0,0
Jermichael Finley\FinlJe00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,32,0,10,0,0
Ryan Taylor\TaylRy00,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
